sequence,Task1,Task2,Task3,Task4,Task5
"(0, 1, 2, 3, 4)",96.87943262411348,97.20861900097943,94.39701173959445,99.09365558912387,99.3948562783661
"(0, 1, 2, 4, 3)",97.58865248226951,96.03330068560236,95.25080042689434,98.08371154815936,99.79859013091641
"(0, 1, 3, 2, 4)",95.93380614657211,97.89422135161607,98.38872104733132,96.10458911419424,99.3948562783661
"(0, 1, 3, 4, 2)",98.77068557919621,98.18805093046034,96.62638469284995,95.6631366616238,99.62646744930629
"(0, 1, 4, 2, 3)",98.2033096926714,95.69049951028404,96.87342410489158,98.07897545357524,99.8992950654582
"(0, 1, 4, 3, 2)",97.16312056737588,98.92262487757101,96.26828038325769,97.23061430010071,99.78655282817503
"(0, 2, 1, 3, 4)",98.01418439716312,91.51547491995731,98.43290891283056,98.94259818731118,99.54614220877458
"(0, 2, 1, 4, 3)",97.02127659574468,92.42262540021345,96.08227228207639,98.53756933938477,99.79859013091641
"(0, 2, 3, 1, 4)",97.73049645390071,92.95624332977589,97.88519637462235,99.0205680705191,99.29399899142713
"(0, 2, 3, 4, 1)",96.548463356974,95.78441835645678,97.73413897280967,98.08371154815936,99.80411361410383
"(0, 2, 4, 1, 3)",98.2033096926714,95.46424759871931,98.18456883509833,98.23702252693438,99.59718026183283
"(0, 2, 4, 3, 1)",98.10874704491725,94.87726787620063,97.68028240040343,98.84189325276938,99.70617042115573
"(0, 3, 1, 2, 4)",97.73049645390071,97.73413897280967,98.33496571988246,95.35752401280683,99.4957135653051
"(0, 3, 1, 4, 2)",96.21749408983452,96.42497482376636,99.0205680705191,96.31870902672718,99.89327641408751
"(0, 3, 2, 1, 4)",97.54137115839244,98.28801611278952,94.02347918890075,98.62879529872674,99.44528492183561
"(0, 3, 2, 4, 1)",98.53427895981088,96.97885196374622,95.25080042689434,98.3862834089763,99.51028403525955
"(0, 3, 4, 1, 2)",97.82505910165484,94.10876132930514,92.9904185577408,99.41234084231147,99.89327641408751
"(0, 3, 4, 2, 1)",98.2033096926714,96.47532729103726,95.86485123550176,99.41302027748132,99.65719882468169
"(0, 4, 1, 2, 3)",97.44680851063829,95.86485123550176,97.40450538687561,98.61259338313768,99.64753272910373
"(0, 4, 1, 3, 2)",97.25768321513003,92.28441754916793,99.06953966699314,97.12990936555892,99.78655282817503
"(0, 4, 2, 1, 3)",97.82505910165484,95.25970751386788,97.1718249733191,99.0205680705191,99.69788519637463
"(0, 4, 2, 3, 1)",98.43971631205673,96.16742309631871,98.93276414087514,97.98590130916415,99.55925563173359
"(0, 4, 3, 1, 2)",97.82505910165484,92.73827534039334,95.61933534743203,99.31439764936337,99.94663820704376
"(0, 4, 3, 2, 1)",98.15602836879432,92.73827534039334,96.87814702920443,99.57310565635005,99.85308521057786
"(1, 0, 2, 3, 4)",95.98432908912831,98.25059101654847,93.11632870864462,99.04330312185297,99.59657085224407
"(1, 0, 2, 4, 3)",93.97649363369246,98.77068557919621,94.23692636072572,98.63842662632375,99.74823766364553
"(1, 0, 3, 2, 4)",97.15964740450539,99.00709219858156,97.93554884189325,94.7171824973319,99.64699949571356
"(1, 0, 3, 4, 2)",97.94319294809011,98.95981087470449,97.38167170191339,96.26828038325769,99.78655282817503
"(1, 0, 4, 2, 3)",93.73163565132224,98.67612293144208,96.7725668179526,97.06510138740661,99.9496475327291
"(1, 0, 4, 3, 2)",96.66993143976494,99.10165484633569,95.20927887039839,98.08660624370594,99.89327641408751
"(1, 2, 0, 3, 4)",96.47404505386875,92.31590181430096,98.81796690307328,98.89224572004028,99.4957135653051
"(1, 2, 0, 4, 3)",93.43780607247797,91.72892209178228,98.29787234042553,98.58799798285426,99.69788519637463
"(1, 2, 3, 0, 4)",95.59255631733595,91.51547491995731,98.94259818731118,99.00709219858156,99.54614220877458
"(1, 2, 3, 4, 0)",95.88638589618022,93.54322305229455,98.38872104733132,98.99142713061019,99.8581560283688
"(1, 2, 4, 0, 3)",93.97649363369246,93.81003201707577,97.93242561775088,99.8581560283688,99.74823766364553
"(1, 2, 4, 3, 0)",93.82957884427033,95.46424759871931,98.43671205244578,99.59718026183283,99.90543735224587
