sequence,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Mean,Time_s
"(1, 0, 4, 9, 6, 5, 8, 2, 3, 7)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(1, 0, 4, 9, 6, 5, 8, 2, 7, 3)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(1, 0, 4, 9, 6, 5, 2, 8, 3, 7)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(1, 0, 4, 9, 6, 5, 2, 8, 7, 3)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(1, 0, 4, 9, 5, 6, 8, 2, 3, 7)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(1, 0, 4, 9, 5, 6, 8, 2, 7, 3)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(1, 0, 4, 9, 5, 6, 2, 8, 3, 7)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(1, 0, 4, 9, 5, 6, 2, 8, 7, 3)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(1, 0, 9, 4, 6, 5, 8, 2, 3, 7)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(1, 0, 9, 4, 6, 5, 8, 2, 7, 3)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(1, 0, 9, 4, 6, 5, 2, 8, 3, 7)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(1, 0, 9, 4, 6, 5, 2, 8, 7, 3)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(1, 0, 9, 4, 5, 6, 8, 2, 3, 7)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(1, 0, 9, 4, 5, 6, 8, 2, 7, 3)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(1, 0, 9, 4, 5, 6, 2, 8, 3, 7)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(1, 0, 9, 4, 5, 6, 2, 8, 7, 3)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(0, 1, 4, 9, 6, 5, 8, 2, 3, 7)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(0, 1, 4, 9, 6, 5, 8, 2, 7, 3)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(0, 1, 4, 9, 6, 5, 2, 8, 3, 7)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(0, 1, 4, 9, 6, 5, 2, 8, 7, 3)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(0, 1, 4, 9, 5, 6, 8, 2, 3, 7)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(0, 1, 4, 9, 5, 6, 8, 2, 7, 3)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(0, 1, 4, 9, 5, 6, 2, 8, 3, 7)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(0, 1, 4, 9, 5, 6, 2, 8, 7, 3)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(0, 1, 9, 4, 6, 5, 8, 2, 3, 7)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(0, 1, 9, 4, 6, 5, 8, 2, 7, 3)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(0, 1, 9, 4, 6, 5, 2, 8, 3, 7)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(0, 1, 9, 4, 6, 5, 2, 8, 7, 3)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(0, 1, 9, 4, 5, 6, 8, 2, 3, 7)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(0, 1, 9, 4, 5, 6, 8, 2, 7, 3)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(0, 1, 9, 4, 5, 6, 2, 8, 3, 7)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(0, 1, 9, 4, 5, 6, 2, 8, 7, 3)",50.1,57.5,56.2,63.8,61.3,62.3,59.7,56.4,46.1,55.9,56.92999999999999,3176.730199813843
"(0, 9, 1, 7, 6, 4, 8, 2, 3, 5)",57.6,64.8,52.5,67.8,60.1,56.0,58.0,47.6,48.3,50.5,56.32000000000001,3036.2973182201385
"(0, 9, 1, 7, 6, 4, 8, 2, 5, 3)",57.6,64.8,52.5,67.8,60.1,56.0,58.0,47.6,48.3,50.5,56.32000000000001,3036.2973182201385
"(0, 9, 1, 7, 6, 4, 2, 8, 3, 5)",57.6,64.8,52.5,67.8,60.1,56.0,58.0,47.6,48.3,50.5,56.32000000000001,3036.2973182201385
"(0, 9, 1, 7, 6, 4, 2, 8, 5, 3)",57.6,64.8,52.5,67.8,60.1,56.0,58.0,47.6,48.3,50.5,56.32000000000001,3036.2973182201385
"(0, 9, 1, 7, 4, 6, 8, 2, 3, 5)",57.6,64.8,52.5,67.8,60.1,56.0,58.0,47.6,48.3,50.5,56.32000000000001,3036.2973182201385
"(0, 9, 1, 7, 4, 6, 8, 2, 5, 3)",57.6,64.8,52.5,67.8,60.1,56.0,58.0,47.6,48.3,50.5,56.32000000000001,3036.2973182201385
"(0, 9, 1, 7, 4, 6, 2, 8, 3, 5)",57.6,64.8,52.5,67.8,60.1,56.0,58.0,47.6,48.3,50.5,56.32000000000001,3036.2973182201385
"(0, 9, 1, 7, 4, 6, 2, 8, 5, 3)",57.6,64.8,52.5,67.8,60.1,56.0,58.0,47.6,48.3,50.5,56.32000000000001,3036.2973182201385
