sequence,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Mean,Time_s
"(1, 0, 4, 9, 6, 5, 8, 2, 3, 7)",12.8,12.8,20.3,24.0,8.9,21.2,17.2,68.8,21.7,15.5,22.32,156.11834621429443
"(1, 0, 4, 9, 6, 5, 8, 2, 7, 3)",21.6,10.3,16.3,54.8,11.3,19.9,12.2,30.7,22.1,19.1,21.829999999999995,157.86360335350037
"(1, 0, 4, 9, 6, 5, 2, 8, 3, 7)",12.5,13.7,15.9,24.5,8.5,18.5,16.4,66.4,26.1,16.4,21.89,159.4425904750824
"(1, 0, 4, 9, 6, 5, 2, 8, 7, 3)",21.0,9.8,14.0,58.4,12.6,24.2,14.0,31.1,24.9,18.1,22.809999999999995,157.20817875862122
"(1, 0, 4, 9, 5, 6, 8, 2, 3, 7)",12.7,16.4,18.6,24.4,10.6,18.2,15.6,68.0,22.2,14.3,22.1,155.81802320480347
"(1, 0, 4, 9, 5, 6, 8, 2, 7, 3)",18.2,8.8,14.3,55.9,12.7,24.9,14.1,31.0,20.9,18.0,21.88,154.9953830242157
"(1, 0, 4, 9, 5, 6, 2, 8, 3, 7)",11.8,11.8,15.0,26.2,8.7,17.1,15.1,65.9,23.6,11.8,20.7,153.15797019004822
"(1, 0, 4, 9, 5, 6, 2, 8, 7, 3)",19.2,8.7,10.6,54.0,10.1,21.6,12.3,26.9,21.5,18.7,20.36,152.37854480743408
"(1, 0, 9, 4, 6, 5, 8, 2, 3, 7)",11.0,14.8,17.8,24.9,10.7,17.7,14.2,69.4,26.2,18.3,22.5,153.58120560646057
"(1, 0, 9, 4, 6, 5, 8, 2, 7, 3)",17.7,11.2,15.0,55.9,15.3,24.0,16.3,27.1,21.5,20.5,22.45,153.15619254112244
"(1, 0, 9, 4, 6, 5, 2, 8, 3, 7)",13.9,12.4,17.7,27.0,10.6,17.7,15.4,66.7,24.6,16.3,22.23,150.48714184761047
"(1, 0, 9, 4, 6, 5, 2, 8, 7, 3)",19.4,11.9,12.3,53.5,10.6,22.4,16.6,30.7,22.4,17.9,21.77,150.44848442077637
"(1, 0, 9, 4, 5, 6, 8, 2, 3, 7)",11.9,15.7,15.8,26.1,12.7,14.3,17.6,68.1,21.9,16.1,22.02,148.82175254821777
"(1, 0, 9, 4, 5, 6, 8, 2, 7, 3)",20.7,10.9,15.0,55.8,11.9,21.5,13.0,26.4,22.0,16.3,21.35,147.27765703201294
"(1, 0, 9, 4, 5, 6, 2, 8, 3, 7)",10.1,13.9,11.5,23.3,9.1,17.3,17.2,67.4,21.9,16.5,20.82,149.5720067024231
"(1, 0, 9, 4, 5, 6, 2, 8, 7, 3)",19.2,9.7,14.4,56.3,10.7,25.1,14.3,26.8,20.9,19.2,21.660000000000004,150.98463654518127
"(0, 1, 4, 9, 6, 5, 8, 2, 3, 7)",13.0,11.2,19.0,23.4,11.9,16.8,17.7,66.9,23.3,16.4,21.96,151.94999265670776
"(0, 1, 4, 9, 6, 5, 8, 2, 7, 3)",23.5,11.6,16.3,56.8,13.9,25.9,14.5,30.9,20.4,17.6,23.14,150.93342661857605
"(0, 1, 4, 9, 6, 5, 2, 8, 3, 7)",14.2,13.2,18.1,27.0,12.0,18.1,17.0,67.2,24.2,12.8,22.380000000000003,149.04919338226318
"(0, 1, 4, 9, 6, 5, 2, 8, 7, 3)",20.8,9.1,16.2,56.5,14.3,25.1,15.6,22.6,21.0,16.0,21.72,152.09526300430298
"(0, 1, 4, 9, 5, 6, 8, 2, 3, 7)",13.5,12.8,18.2,26.3,12.6,16.7,14.7,65.7,18.9,14.7,21.41,175.2473165988922
"(0, 1, 4, 9, 5, 6, 8, 2, 7, 3)",20.9,9.0,15.0,56.3,12.8,23.3,14.8,28.9,18.1,21.3,22.04,150.27677011489868
"(0, 1, 4, 9, 5, 6, 2, 8, 3, 7)",12.6,13.6,13.9,23.2,10.6,14.8,16.0,63.1,21.9,15.2,20.49,146.78408813476562
"(0, 1, 4, 9, 5, 6, 2, 8, 7, 3)",17.6,8.0,14.9,54.4,13.6,19.1,12.5,29.5,16.8,19.0,20.54,145.65402173995972
"(0, 1, 9, 4, 6, 5, 8, 2, 3, 7)",14.2,12.9,19.4,23.8,11.5,16.1,17.4,68.7,24.5,16.5,22.5,147.26054000854492
"(0, 1, 9, 4, 6, 5, 8, 2, 7, 3)",20.4,11.9,15.9,56.6,14.1,22.3,14.4,28.4,22.9,20.9,22.78,145.65936160087585
"(0, 1, 9, 4, 6, 5, 2, 8, 3, 7)",9.9,9.6,19.6,20.3,11.8,16.8,14.5,65.1,24.5,15.7,20.779999999999998,143.89073491096497
"(0, 1, 9, 4, 6, 5, 2, 8, 7, 3)",18.9,10.9,11.2,58.4,10.4,21.1,12.1,30.1,19.5,21.4,21.4,143.6489806175232
"(0, 1, 9, 4, 5, 6, 8, 2, 3, 7)",11.3,13.4,17.1,24.6,9.4,16.8,17.1,68.9,19.3,12.8,21.070000000000004,156.0063121318817
"(0, 1, 9, 4, 5, 6, 8, 2, 7, 3)",25.9,10.7,10.7,57.3,12.4,23.6,16.7,25.0,21.9,16.0,22.02,166.46212911605835
"(0, 1, 9, 4, 5, 6, 2, 8, 3, 7)",13.5,12.6,15.4,26.4,10.6,14.3,15.6,65.9,22.4,13.8,21.050000000000004,165.07006359100342
"(0, 1, 9, 4, 5, 6, 2, 8, 7, 3)",24.1,8.6,14.6,56.4,11.1,24.9,16.0,27.1,25.4,17.7,22.589999999999996,169.58885979652405
"(0, 9, 1, 7, 6, 4, 8, 2, 3, 5)",14.4,15.8,13.1,32.8,18.8,57.0,13.6,16.7,15.5,20.9,21.859999999999996,172.5356845855713
"(0, 9, 1, 7, 6, 4, 8, 2, 5, 3)",20.5,7.5,12.4,57.2,16.9,34.2,14.2,16.0,21.0,18.7,21.859999999999996,174.606862783432
