sequence,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Mean,Time_s
"(1, 0, 4, 9, 6, 5, 8, 2, 3, 7)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(1, 0, 4, 9, 6, 5, 8, 2, 7, 3)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(1, 0, 4, 9, 6, 5, 2, 8, 3, 7)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(1, 0, 4, 9, 6, 5, 2, 8, 7, 3)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(1, 0, 4, 9, 5, 6, 8, 2, 3, 7)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(1, 0, 4, 9, 5, 6, 8, 2, 7, 3)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(1, 0, 4, 9, 5, 6, 2, 8, 3, 7)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(1, 0, 4, 9, 5, 6, 2, 8, 7, 3)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(1, 0, 9, 4, 6, 5, 8, 2, 3, 7)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(1, 0, 9, 4, 6, 5, 8, 2, 7, 3)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(1, 0, 9, 4, 6, 5, 2, 8, 3, 7)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(1, 0, 9, 4, 6, 5, 2, 8, 7, 3)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(1, 0, 9, 4, 5, 6, 8, 2, 3, 7)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(1, 0, 9, 4, 5, 6, 8, 2, 7, 3)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(1, 0, 9, 4, 5, 6, 2, 8, 3, 7)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(1, 0, 9, 4, 5, 6, 2, 8, 7, 3)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(0, 1, 4, 9, 6, 5, 8, 2, 3, 7)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(0, 1, 4, 9, 6, 5, 8, 2, 7, 3)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(0, 1, 4, 9, 6, 5, 2, 8, 3, 7)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(0, 1, 4, 9, 6, 5, 2, 8, 7, 3)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(0, 1, 4, 9, 5, 6, 8, 2, 3, 7)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(0, 1, 4, 9, 5, 6, 8, 2, 7, 3)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(0, 1, 4, 9, 5, 6, 2, 8, 3, 7)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(0, 1, 4, 9, 5, 6, 2, 8, 7, 3)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
"(0, 1, 9, 4, 6, 5, 8, 2, 3, 7)",49.2,53.2,49.8,57.0,52.4,47.5,52.9,45.1,38.2,58.9,50.419999999999995,3969.759818792343
