sequence,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Mean,Time_s
"(1, 0, 4, 9, 6, 5, 8, 2, 3, 7)",13.9,15.6,21.1,24.4,10.9,21.6,22.3,75.1,24.4,17.6,24.69,198.61006426811218
"(1, 0, 4, 9, 6, 5, 8, 2, 7, 3)",23.4,10.9,17.4,63.3,16.1,24.0,18.2,35.7,24.3,24.4,25.77,186.79003930091858
"(1, 0, 4, 9, 6, 5, 2, 8, 3, 7)",14.7,17.1,20.6,28.9,9.0,22.3,19.9,70.5,29.7,17.0,24.97,182.21585607528687
"(1, 0, 4, 9, 6, 5, 2, 8, 7, 3)",22.5,13.8,15.6,60.7,14.4,26.6,15.5,33.7,29.0,23.7,25.55,182.34290313720703
"(1, 0, 4, 9, 5, 6, 8, 2, 3, 7)",15.1,18.3,21.0,27.4,11.5,20.5,18.1,73.3,24.4,16.7,24.63,178.36968350410461
"(1, 0, 4, 9, 5, 6, 8, 2, 7, 3)",21.8,10.7,15.6,59.9,17.6,27.8,17.7,33.9,24.9,23.6,25.35,178.8249707221985
"(1, 0, 4, 9, 5, 6, 2, 8, 3, 7)",14.6,15.6,18.4,28.3,10.9,16.9,19.0,69.1,26.3,14.0,23.31,178.4195420742035
"(1, 0, 4, 9, 5, 6, 2, 8, 7, 3)",26.6,13.4,13.3,57.2,11.4,25.8,14.8,32.9,23.6,18.2,23.720000000000002,181.6436574459076
"(1, 0, 9, 4, 6, 5, 8, 2, 3, 7)",16.8,18.5,20.8,25.8,9.4,19.1,17.9,73.8,27.2,19.2,24.85,184.49250864982605
"(1, 0, 9, 4, 6, 5, 8, 2, 7, 3)",19.6,12.2,17.6,59.3,17.2,23.6,17.1,31.7,22.7,25.1,24.609999999999996,187.328111410141
"(1, 0, 9, 4, 6, 5, 2, 8, 3, 7)",19.1,15.6,19.4,27.6,9.7,17.1,16.1,68.1,32.5,18.7,24.389999999999997,185.15519189834595
"(1, 0, 9, 4, 6, 5, 2, 8, 7, 3)",25.9,11.2,14.9,61.0,14.8,25.8,19.9,32.3,25.6,21.2,25.259999999999998,175.81086134910583
"(1, 0, 9, 4, 5, 6, 8, 2, 3, 7)",13.5,16.2,20.7,27.7,12.5,19.3,19.4,72.7,22.9,16.6,24.15,177.20254015922546
"(1, 0, 9, 4, 5, 6, 8, 2, 7, 3)",23.2,11.7,17.3,61.2,13.5,24.3,16.6,32.5,23.9,24.1,24.830000000000002,182.25703883171082
"(1, 0, 9, 4, 5, 6, 2, 8, 3, 7)",14.7,15.0,17.3,28.9,12.0,19.8,19.2,72.1,27.5,16.6,24.31,186.08467435836792
"(1, 0, 9, 4, 5, 6, 2, 8, 7, 3)",24.0,12.1,12.9,60.4,13.4,26.2,15.6,37.0,25.8,26.7,25.41,190.81559705734253
"(0, 1, 4, 9, 6, 5, 8, 2, 3, 7)",17.5,13.8,25.0,27.1,12.9,17.4,18.3,73.4,25.8,23.9,25.510000000000005,187.20403385162354
"(0, 1, 4, 9, 6, 5, 8, 2, 7, 3)",23.9,11.2,17.4,60.7,13.5,26.8,15.4,35.5,22.8,21.4,24.860000000000003,190.54645705223083
"(0, 1, 4, 9, 6, 5, 2, 8, 3, 7)",21.0,13.3,20.1,27.2,12.0,22.0,18.4,73.9,25.4,15.5,24.880000000000003,179.31488490104675
"(0, 1, 4, 9, 6, 5, 2, 8, 7, 3)",26.1,8.8,16.6,61.3,16.4,29.7,15.3,32.8,25.5,22.6,25.509999999999998,187.03671193122864
"(0, 1, 4, 9, 5, 6, 8, 2, 3, 7)",18.3,12.9,24.1,28.5,12.5,17.9,19.3,73.0,21.4,15.3,24.320000000000004,209.22573590278625
"(0, 1, 4, 9, 5, 6, 8, 2, 7, 3)",26.7,11.1,17.4,63.7,15.9,25.2,16.1,33.5,20.0,22.3,25.19,184.9533932209015
"(0, 1, 4, 9, 5, 6, 2, 8, 3, 7)",14.3,15.9,19.8,23.2,10.5,19.8,18.0,68.2,27.6,18.6,23.589999999999996,181.75750064849854
"(0, 1, 4, 9, 5, 6, 2, 8, 7, 3)",23.4,10.2,14.2,58.6,16.8,23.6,16.8,33.8,23.9,21.6,24.290000000000003,181.48466968536377
"(0, 1, 9, 4, 6, 5, 8, 2, 3, 7)",15.8,15.4,23.9,27.6,9.4,20.5,20.2,71.0,22.5,19.1,24.54,181.14514541625977
"(0, 1, 9, 4, 6, 5, 8, 2, 7, 3)",25.5,13.0,18.8,60.5,14.6,27.1,14.1,32.1,26.9,20.8,25.34,184.23446536064148
"(0, 1, 9, 4, 6, 5, 2, 8, 3, 7)",13.7,13.0,20.5,23.4,9.3,16.6,16.4,69.9,28.3,17.3,22.840000000000003,181.26771759986877
"(0, 1, 9, 4, 6, 5, 2, 8, 7, 3)",25.1,10.3,14.4,60.0,12.4,25.1,16.3,32.4,26.9,22.2,24.51,182.95591187477112
"(0, 1, 9, 4, 5, 6, 8, 2, 3, 7)",18.0,15.1,22.4,29.3,10.6,17.0,19.9,72.6,24.5,19.4,24.88,177.88765358924866
"(0, 1, 9, 4, 5, 6, 8, 2, 7, 3)",29.4,11.6,16.2,62.7,15.8,26.1,18.2,30.8,23.1,19.9,25.380000000000003,166.10357356071472
"(0, 1, 9, 4, 5, 6, 2, 8, 3, 7)",16.0,9.8,19.2,29.4,10.9,18.3,19.9,72.8,26.1,17.2,23.96,165.48906803131104
"(0, 1, 9, 4, 5, 6, 2, 8, 7, 3)",29.2,11.0,14.6,61.5,14.7,24.9,19.8,31.2,27.2,22.5,25.660000000000004,167.61992239952087
"(0, 9, 1, 7, 6, 4, 8, 2, 3, 5)",15.9,13.2,15.3,35.6,19.0,60.2,17.9,17.5,22.8,23.5,24.09,167.57357120513916
"(0, 9, 1, 7, 6, 4, 8, 2, 5, 3)",25.3,10.7,15.5,61.0,19.8,38.4,16.1,19.5,26.1,29.1,26.15,170.86555314064026
"(0, 9, 1, 7, 6, 4, 2, 8, 3, 5)",24.3,14.2,13.8,35.8,17.3,60.8,20.0,16.6,27.1,19.9,24.979999999999997,168.2699909210205
"(0, 9, 1, 7, 6, 4, 2, 8, 5, 3)",27.2,8.8,12.4,61.9,13.4,35.5,15.7,14.6,26.5,18.6,23.459999999999997,168.4309537410736
"(0, 9, 1, 7, 4, 6, 8, 2, 3, 5)",19.6,10.0,16.4,35.4,15.8,63.2,19.5,18.3,24.1,23.1,24.54,171.29136037826538
"(0, 9, 1, 7, 4, 6, 8, 2, 5, 3)",26.1,9.3,13.5,62.4,16.5,35.2,13.3,19.0,26.2,23.0,24.45,167.99447751045227
"(0, 9, 1, 7, 4, 6, 2, 8, 3, 5)",18.8,13.7,14.4,33.2,15.5,64.1,21.0,15.6,24.5,20.2,24.099999999999998,170.50143790245056
"(0, 9, 1, 7, 4, 6, 2, 8, 5, 3)",29.1,9.6,12.7,61.5,17.3,36.0,15.2,20.0,25.7,23.9,25.1,175.37064218521118
