sequence,Task1,Task2,Task3,Task4,Task5
"(0, 1, 2, 3, 4)",51.91489361702128,94.66209598432908,60.35218783351121,97.58308157099698,99.24357034795764
"(0, 1, 2, 4, 3)",78.43971631205673,93.43780607247797,69.90394877267876,99.69788519637463,94.55370650529501
"(0, 1, 3, 2, 4)",49.881796690307326,95.15181194906954,88.74066168623266,96.72708962739175,99.34442763489662
"(0, 1, 3, 4, 2)",32.009456264775416,94.41723800195886,99.94663820704376,88.46928499496475,76.55068078668684
"(0, 1, 4, 2, 3)",65.15366430260048,92.16454456415279,96.53148345784419,99.79859013091641,89.86384266263238
"(0, 1, 4, 3, 2)",59.76359338061466,82.81096963761019,99.94663820704376,89.72809667673717,48.310640443772066
"(0, 2, 1, 3, 4)",58.2033096926714,96.08227228207639,59.605122732123796,97.88519637462235,99.14271306101865
"(0, 2, 1, 4, 3)",91.53664302600473,92.85014691478942,56.937033084311636,99.74823766364553,95.61270801815431
"(0, 2, 3, 1, 4)",56.45390070921986,98.23702252693438,69.5837780149413,94.36052366565961,99.44528492183561
"(0, 2, 3, 4, 1)",68.36879432624113,99.80411361410383,78.06830309498399,92.54783484390735,96.97428139183056
"(0, 2, 4, 1, 3)",89.03073286052009,95.64152791381,67.39594450373532,99.79859013091641,88.50226928895613
"(0, 2, 4, 3, 1)",69.73995271867612,99.65719882468169,78.65528281750267,96.42497482376636,94.95713565305093
"(0, 3, 1, 2, 4)",49.0307328605201,95.15181194906954,83.991462113127,91.08761329305136,99.24357034795764
"(0, 3, 1, 4, 2)",52.4822695035461,97.60039177277179,99.94663820704376,84.69284994964754,76.90368129097327
"(0, 3, 2, 1, 4)",59.290780141843975,95.88638589618022,63.39381003201708,96.17321248741189,99.3948562783661
"(0, 3, 2, 4, 1)",72.95508274231679,99.70617042115573,90.07470651013874,93.45417925478348,94.55370650529501
"(0, 3, 4, 1, 2)",46.7612293144208,98.67776689520079,99.89327641408751,53.52467270896274,47.45335350479072
"(0, 3, 4, 2, 1)",46.903073286052006,99.65719882468169,99.09284951974387,75.78046324269889,84.56883509833585
"(0, 4, 1, 2, 3)",74.98817966903073,90.74436826640549,95.30416221985058,99.79859013091641,79.5259707513868
"(0, 4, 1, 3, 2)",48.69976359338062,78.64838393731635,99.94663820704376,92.49748237663646,63.94351991931417
"(0, 4, 2, 1, 3)",91.53664302600473,96.5230166503428,76.57417289220918,99.74823766364553,87.34241048915784
"(0, 4, 2, 3, 1)",71.15839243498817,99.4613124387855,94.66382070437567,95.72004028197382,90.56984367120525
"(0, 4, 3, 1, 2)",30.16548463356974,95.83741429970617,99.94663820704376,53.17220543806646,51.48764498234998
"(0, 4, 3, 2, 1)",57.25768321513002,99.65719882468169,98.71931696905015,88.97280966767372,81.6439737771054
"(1, 0, 2, 3, 4)",48.226950354609926,93.82957884427033,58.69797225186766,97.88519637462235,99.04185577407968
