sequence,Task1,Task2,Task3,Task4,Task5
"(0, 1, 2, 3, 4)",98.91252955082743,99.26542605288932,95.78441835645678,98.5901309164149,99.4957135653051
"(0, 1, 2, 4, 3)",98.67612293144208,96.9637610186092,96.69156883671292,99.74823766364553,98.33585476550681
"(0, 1, 3, 2, 4)",98.95981087470449,98.87365328109696,95.5709711846318,98.79154078549848,99.54614220877458
"(0, 1, 3, 4, 2)",98.95981087470449,99.60822722820764,100.0,96.77744209466263,93.4947049924357
"(0, 1, 4, 2, 3)",98.86524822695036,98.43290891283056,97.43863393810032,99.54682779456193,98.03328290468987
"(0, 1, 4, 3, 2)",98.58156028368795,99.0205680705191,99.73319103521878,97.38167170191339,95.6631366616238
"(0, 2, 1, 3, 4)",99.47990543735224,99.26542605288932,94.8239060832444,99.19436052366567,99.3948562783661
"(0, 2, 1, 4, 3)",97.68321513002364,97.69833496571988,96.90501600853788,99.79859013091641,98.43671205244578
"(0, 2, 3, 1, 4)",98.72340425531915,99.36336924583742,92.31590181430096,98.33836858006042,99.34442763489662
"(0, 2, 3, 4, 1)",99.24349881796691,99.60822722820764,98.07897545357524,97.58308157099698,94.95713565305093
"(0, 2, 4, 1, 3)",99.47990543735224,98.38393731635651,96.37139807897546,99.74823766364553,97.12556732223904
"(0, 2, 4, 3, 1)",99.43262411347517,99.65719882468169,98.61259338313768,98.33836858006042,97.2768532526475
"(0, 3, 1, 2, 4)",98.67612293144208,99.11851126346718,95.99786552828175,98.33836858006042,99.3948562783661
"(0, 3, 1, 4, 2)",98.72340425531915,99.60822722820764,99.83991462113127,96.12286002014099,96.67170953101362
"(0, 3, 2, 1, 4)",99.38534278959811,99.36336924583742,96.05122732123799,98.6404833836858,99.3948562783661
"(0, 3, 2, 4, 1)",98.95981087470449,99.65719882468169,98.87940234791888,97.02920443101712,97.42813918305598
"(0, 3, 4, 1, 2)",98.91252955082743,99.70617042115573,99.83991462113127,96.32426988922457,96.82299546142208
"(0, 3, 4, 2, 1)",98.81796690307328,99.75514201762978,99.57310565635005,97.12990936555892,96.67170953101362
"(0, 4, 1, 2, 3)",99.14893617021276,97.35553379040157,97.49199573105656,99.8992950654582,97.62985375693394
"(0, 4, 1, 3, 2)",98.67612293144208,99.06953966699314,100.0,96.92849949647533,95.56227937468482
"(0, 4, 2, 1, 3)",99.05437352245863,97.89422135161607,97.75880469583778,99.8489425981873,97.52899646999495
"(0, 4, 2, 3, 1)",99.24349881796691,99.85308521057786,98.87940234791888,98.18731117824774,97.22642460917801
"(0, 4, 3, 1, 2)",98.72340425531915,99.36336924583742,99.89327641408751,94.7129909365559,94.35199193141705
"(0, 4, 3, 2, 1)",98.91252955082743,99.60822722820764,99.78655282817503,97.83484390735146,97.57942511346445
"(1, 0, 2, 3, 4)",98.10874704491725,98.4818805093046,94.18356456776948,98.48942598187311,99.19314170448816
"(1, 0, 2, 4, 3)",98.2033096926714,98.62879529872674,96.31803628601921,99.64753272910373,98.78971255673223
"(1, 0, 3, 2, 4)",98.58156028368795,99.41234084231147,96.63820704375667,98.13695871097684,99.64699949571356
"(1, 0, 3, 4, 2)",98.95981087470449,99.70617042115573,99.89327641408751,96.32426988922457,95.81442259203227
"(1, 0, 4, 2, 3)",98.15602836879432,97.94319294809011,97.97225186766275,99.74823766364553,97.88199697428139
"(1, 0, 4, 3, 2)",98.95981087470449,99.21645445641528,99.78655282817503,96.87814702920443,95.91527987897126
"(1, 2, 0, 3, 4)",98.4869976359338,99.21645445641528,95.30416221985058,98.6404833836858,99.34442763489662
"(1, 2, 0, 4, 3)",98.81796690307328,98.5798237022527,97.1718249733191,99.8489425981873,98.33585476550681
"(1, 2, 3, 0, 4)",99.24349881796691,98.97159647404506,95.46424759871931,98.5901309164149,99.54614220877458
"(1, 2, 3, 4, 0)",99.90543735224587,99.31439764936337,95.94450373532551,98.89224572004028,98.78971255673223
"(1, 2, 4, 0, 3)",99.43262411347517,97.55142017629775,95.67769477054429,99.79859013091641,98.28542612203732
"(1, 2, 4, 3, 0)",99.95271867612293,99.36336924583742,97.5453575240128,99.44612286002014,98.68885526979324
"(1, 3, 0, 2, 4)",97.68321513002364,98.97159647404506,96.10458911419424,98.13695871097684,99.44528492183561
"(1, 3, 0, 4, 2)",98.91252955082743,98.67776689520079,99.89327641408751,95.9718026183283,96.52042360060514
"(1, 3, 2, 0, 4)",98.3451536643026,99.21645445641528,95.62433297758805,98.43907351460221,99.3948562783661
"(1, 3, 2, 4, 0)",99.95271867612293,98.82468168462292,96.90501600853788,98.48942598187311,98.8905698436712
"(1, 3, 4, 0, 2)",99.52718676122932,99.26542605288932,99.89327641408751,96.92849949647533,94.6041351487645
"(1, 3, 4, 2, 0)",99.95271867612293,99.41234084231147,99.51974386339381,97.63343403826788,96.57085224407463
"(1, 4, 0, 2, 3)",99.05437352245863,97.74730656219393,97.22518676627534,99.69788519637463,97.52899646999495
"(1, 4, 0, 3, 2)",98.77068557919621,99.21645445641528,100.0,97.18026183282981,94.80584972264246
"(1, 4, 2, 0, 3)",99.14893617021276,97.79627815866797,97.33191035218783,99.79859013091641,98.43671205244578
"(1, 4, 2, 3, 0)",99.95271867612293,98.28599412340843,97.43863393810032,99.64753272910373,97.37771053958649
"(1, 4, 3, 0, 2)",99.33806146572104,99.4613124387855,99.89327641408751,96.37462235649546,94.55370650529501
"(1, 4, 3, 2, 0)",99.95271867612293,99.36336924583742,98.87940234791888,99.24471299093656,98.3862834089763
