sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 2, 3, 4, 1)",88.33333333333333,77.5,53.333333333333336,82.5,73.33333333333333,75.0,42.39498591423035
"(3, 2, 0, 1, 4)",48.333333333333336,55.0,42.5,62.5,75.0,56.666666666666664,42.58455681800842
"(3, 4, 2, 1, 0)",80.0,65.83333333333333,54.166666666666664,86.66666666666667,45.0,66.33333333333334,42.68810486793518
"(4, 3, 0, 1, 2)",69.16666666666667,71.66666666666667,70.0,85.83333333333333,35.0,66.33333333333334,42.9980731010437
"(1, 2, 0, 3, 4)",7.5,40.0,42.5,30.833333333333332,36.666666666666664,31.5,42.09443283081055
"(3, 2, 1, 4, 0)",80.0,60.0,54.166666666666664,65.83333333333333,69.16666666666667,65.83333333333334,42.09224772453308
"(4, 0, 1, 2, 3)",91.66666666666667,74.16666666666667,65.0,82.5,69.16666666666667,76.5,42.19809889793396
"(4, 2, 0, 3, 1)",49.166666666666664,54.166666666666664,51.666666666666664,50.0,50.0,51.0,42.11070013046265
"(1, 4, 3, 2, 0)",82.5,52.5,50.0,61.666666666666664,61.666666666666664,61.666666666666664,42.11250686645508
"(3, 1, 0, 4, 2)",47.5,57.5,75.0,55.0,61.666666666666664,59.333333333333336,42.15576672554016
"(3, 2, 4, 0, 1)",41.666666666666664,65.83333333333333,69.16666666666667,75.0,57.5,61.833333333333336,42.22088408470154
"(0, 3, 4, 1, 2)",49.166666666666664,45.833333333333336,51.666666666666664,45.833333333333336,48.333333333333336,48.16666666666667,42.61809492111206
"(4, 0, 1, 3, 2)",18.333333333333332,47.5,46.666666666666664,31.666666666666668,37.5,36.33333333333333,42.69106602668762
"(2, 4, 1, 0, 3)",81.66666666666667,71.66666666666667,65.83333333333333,85.83333333333333,58.333333333333336,72.66666666666666,43.46943712234497
"(0, 2, 3, 1, 4)",47.5,64.16666666666667,50.0,58.333333333333336,70.83333333333333,58.166666666666664,42.716334104537964
"(0, 2, 1, 4, 3)",76.66666666666667,63.333333333333336,50.0,65.0,56.666666666666664,62.333333333333336,42.665010929107666
"(0, 1, 2, 4, 3)",85.0,58.333333333333336,53.333333333333336,76.66666666666667,60.833333333333336,66.83333333333334,42.821321964263916
"(3, 1, 0, 2, 4)",93.33333333333333,83.33333333333333,71.66666666666667,88.33333333333333,61.666666666666664,79.66666666666666,42.69967603683472
"(1, 0, 3, 2, 4)",50.0,56.666666666666664,60.0,67.5,56.666666666666664,58.166666666666664,42.73601007461548
"(0, 4, 2, 3, 1)",50.0,50.0,50.0,50.0,50.0,50.0,42.74546980857849
