sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 2, 3, 4, 1)",65.0,60.0,90.0,55.833333333333336,67.5,67.66666666666666,152.50613141059875
"(3, 2, 0, 1, 4)",92.5,40.833333333333336,96.66666666666667,80.83333333333333,89.16666666666667,80.0,152.37031602859497
"(3, 4, 2, 1, 0)",87.5,64.16666666666667,70.0,73.33333333333333,98.33333333333333,78.66666666666666,152.48032808303833
"(4, 3, 0, 1, 2)",49.166666666666664,70.83333333333333,58.333333333333336,53.333333333333336,66.66666666666667,59.666666666666664,152.78284430503845
"(1, 2, 0, 3, 4)",85.0,56.666666666666664,88.33333333333333,86.66666666666667,67.5,76.83333333333334,153.40702986717224
"(3, 2, 1, 4, 0)",80.0,55.0,62.5,60.833333333333336,90.0,69.66666666666666,153.3088240623474
"(4, 0, 1, 2, 3)",66.66666666666667,96.66666666666667,64.16666666666667,60.833333333333336,89.16666666666667,75.5,150.69379496574402
"(4, 2, 0, 3, 1)",53.333333333333336,55.833333333333336,60.0,75.83333333333333,65.0,62.0,149.5083270072937
"(1, 4, 3, 2, 0)",56.666666666666664,55.0,71.66666666666667,60.0,73.33333333333333,63.333333333333336,151.77890014648438
"(3, 1, 0, 4, 2)",73.33333333333333,53.333333333333336,50.0,50.0,56.666666666666664,56.666666666666664,152.65402007102966
"(3, 2, 4, 0, 1)",88.33333333333333,74.16666666666667,51.666666666666664,34.166666666666664,70.83333333333333,63.83333333333333,152.87286806106567
"(0, 3, 4, 1, 2)",50.0,50.0,50.0,60.0,54.166666666666664,52.833333333333336,150.58106899261475
"(4, 0, 1, 3, 2)",50.0,50.833333333333336,51.666666666666664,62.5,62.5,55.5,149.52228903770447
"(2, 4, 1, 0, 3)",53.333333333333336,52.5,53.333333333333336,93.33333333333333,76.66666666666667,65.83333333333334,151.85807490348816
"(0, 2, 3, 1, 4)",50.0,58.333333333333336,74.16666666666667,55.0,75.0,62.5,153.11173105239868
"(0, 2, 1, 4, 3)",95.83333333333333,70.0,81.66666666666667,85.0,93.33333333333333,85.16666666666666,152.92507982254028
"(0, 1, 2, 4, 3)",85.0,84.16666666666667,69.16666666666667,77.5,90.83333333333333,81.33333333333334,152.84869694709778
"(3, 1, 0, 2, 4)",70.0,50.833333333333336,79.16666666666667,51.666666666666664,50.833333333333336,60.5,152.83929109573364
"(1, 0, 3, 2, 4)",78.33333333333333,78.33333333333333,85.83333333333333,72.5,65.83333333333333,76.16666666666666,152.9559588432312
"(0, 4, 2, 3, 1)",74.16666666666667,61.666666666666664,87.5,94.16666666666667,73.33333333333333,78.16666666666666,152.81877613067627
