sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 4, 2, 1, 3)",97.83333333333333,91.66666666666667,95.16666666666667,96.5,97.66666666666667,95.76666666666668,174.63076305389404
"(0, 4, 1, 2, 3)",97.83333333333333,91.66666666666667,95.16666666666667,96.5,97.66666666666667,95.76666666666668,174.63076305389404
"(4, 0, 2, 1, 3)",97.83333333333333,91.66666666666667,95.16666666666667,96.5,97.66666666666667,95.76666666666668,174.63076305389404
"(4, 0, 1, 2, 3)",97.83333333333333,91.66666666666667,95.16666666666667,96.5,97.66666666666667,95.76666666666668,174.63076305389404
"(1, 4, 2, 0, 3)",96.16666666666667,91.33333333333333,96.16666666666667,94.83333333333333,97.66666666666667,95.23333333333333,177.31914615631104
"(1, 4, 0, 2, 3)",96.16666666666667,91.33333333333333,96.16666666666667,94.83333333333333,97.66666666666667,95.23333333333333,177.31914615631104
"(4, 1, 2, 0, 3)",96.16666666666667,91.33333333333333,96.16666666666667,94.83333333333333,97.66666666666667,95.23333333333333,177.31914615631104
"(4, 1, 0, 2, 3)",96.16666666666667,91.33333333333333,96.16666666666667,94.83333333333333,97.66666666666667,95.23333333333333,177.31914615631104
"(4, 3, 0, 2, 1)",93.33333333333333,98.5,99.16666666666667,89.83333333333333,74.33333333333333,91.03333333333333,191.16186809539795
"(4, 3, 2, 0, 1)",93.33333333333333,98.5,99.16666666666667,89.83333333333333,74.33333333333333,91.03333333333333,191.16186809539795
"(3, 4, 0, 2, 1)",93.33333333333333,98.5,99.16666666666667,89.83333333333333,74.33333333333333,91.03333333333333,191.16186809539795
"(3, 4, 2, 0, 1)",93.33333333333333,98.5,99.16666666666667,89.83333333333333,74.33333333333333,91.03333333333333,191.16186809539795
"(4, 3, 0, 1, 2)",93.16666666666667,96.5,95.16666666666667,96.83333333333333,91.16666666666667,94.56666666666668,168.82855486869812
"(4, 3, 1, 0, 2)",93.16666666666667,96.5,95.16666666666667,96.83333333333333,91.16666666666667,94.56666666666668,168.82855486869812
"(3, 4, 0, 1, 2)",93.16666666666667,96.5,95.16666666666667,96.83333333333333,91.16666666666667,94.56666666666668,168.82855486869812
"(3, 4, 1, 0, 2)",93.16666666666667,96.5,95.16666666666667,96.83333333333333,91.16666666666667,94.56666666666668,168.82855486869812
"(0, 1, 2, 3, 4)",98.5,91.66666666666667,83.33333333333333,90.83333333333333,91.5,91.16666666666666,170.12531185150146
"(0, 1, 3, 2, 4)",98.5,91.66666666666667,83.33333333333333,90.83333333333333,91.5,91.16666666666666,170.12531185150146
"(1, 0, 2, 3, 4)",98.5,91.66666666666667,83.33333333333333,90.83333333333333,91.5,91.16666666666666,170.12531185150146
"(1, 0, 3, 2, 4)",98.5,91.66666666666667,83.33333333333333,90.83333333333333,91.5,91.16666666666666,170.12531185150146
"(2, 1, 0, 3, 4)",94.66666666666667,98.0,99.33333333333333,95.33333333333333,93.0,96.06666666666666,177.63867664337158
"(2, 1, 3, 0, 4)",94.66666666666667,98.0,99.33333333333333,95.33333333333333,93.0,96.06666666666666,177.63867664337158
"(1, 2, 0, 3, 4)",94.66666666666667,98.0,99.33333333333333,95.33333333333333,93.0,96.06666666666666,177.63867664337158
"(1, 2, 3, 0, 4)",94.66666666666667,98.0,99.33333333333333,95.33333333333333,93.0,96.06666666666666,177.63867664337158
"(0, 3, 4, 1, 2)",85.33333333333333,97.16666666666667,88.66666666666667,96.0,80.0,89.43333333333334,178.14179921150208
"(0, 3, 1, 4, 2)",85.33333333333333,97.16666666666667,88.66666666666667,96.0,80.0,89.43333333333334,178.14179921150208
"(3, 0, 4, 1, 2)",85.33333333333333,97.16666666666667,88.66666666666667,96.0,80.0,89.43333333333334,178.14179921150208
"(3, 0, 1, 4, 2)",85.33333333333333,97.16666666666667,88.66666666666667,96.0,80.0,89.43333333333334,178.14179921150208
"(4, 2, 0, 1, 3)",91.16666666666667,94.83333333333333,99.0,97.16666666666667,94.16666666666667,95.26666666666668,176.07551455497742
"(4, 2, 1, 0, 3)",91.16666666666667,94.83333333333333,99.0,97.16666666666667,94.16666666666667,95.26666666666668,176.07551455497742
"(2, 4, 0, 1, 3)",91.16666666666667,94.83333333333333,99.0,97.16666666666667,94.16666666666667,95.26666666666668,176.07551455497742
"(2, 4, 1, 0, 3)",91.16666666666667,94.83333333333333,99.0,97.16666666666667,94.16666666666667,95.26666666666668,176.07551455497742
"(3, 0, 2, 1, 4)",92.66666666666667,99.0,92.5,94.66666666666667,90.66666666666667,93.9,171.00943684577942
"(3, 0, 1, 2, 4)",92.66666666666667,99.0,92.5,94.66666666666667,90.66666666666667,93.9,171.00943684577942
"(0, 3, 2, 1, 4)",92.66666666666667,99.0,92.5,94.66666666666667,90.66666666666667,93.9,171.00943684577942
"(0, 3, 1, 2, 4)",92.66666666666667,99.0,92.5,94.66666666666667,90.66666666666667,93.9,171.00943684577942
"(3, 2, 1, 4, 0)",93.0,91.0,95.5,85.5,98.0,92.6,180.95891046524048
"(3, 2, 4, 1, 0)",93.0,91.0,95.5,85.5,98.0,92.6,180.95891046524048
"(2, 3, 1, 4, 0)",93.0,91.0,95.5,85.5,98.0,92.6,180.95891046524048
"(2, 3, 4, 1, 0)",93.0,91.0,95.5,85.5,98.0,92.6,180.95891046524048
