sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 4, 2, 1, 3)",94.16666666666667,94.5,89.5,93.16666666666667,75.16666666666667,89.30000000000001,23.040208339691162
"(0, 4, 1, 2, 3)",85.66666666666667,93.83333333333333,87.5,95.5,81.66666666666667,88.83333333333334,20.10440993309021
"(4, 0, 2, 1, 3)",96.66666666666667,98.5,82.66666666666667,96.83333333333333,87.83333333333333,92.5,22.310357093811035
"(4, 0, 1, 2, 3)",83.83333333333333,94.33333333333333,93.0,97.66666666666667,84.33333333333333,90.63333333333333,21.893157958984375
"(1, 4, 2, 0, 3)",91.66666666666667,93.16666666666667,85.66666666666667,97.16666666666667,89.33333333333333,91.4,20.249389171600342
"(1, 4, 0, 2, 3)",97.0,93.5,87.66666666666667,97.33333333333333,70.66666666666667,89.23333333333333,20.813583374023438
"(4, 1, 2, 0, 3)",97.66666666666667,96.66666666666667,92.83333333333333,94.66666666666667,87.0,93.76666666666668,21.802099227905273
"(4, 1, 0, 2, 3)",80.16666666666667,90.16666666666667,87.83333333333333,94.33333333333333,72.83333333333333,85.06666666666666,20.73827838897705
"(4, 3, 0, 2, 1)",94.5,93.33333333333333,85.66666666666667,94.16666666666667,85.66666666666667,90.66666666666667,20.755816221237183
"(4, 3, 2, 0, 1)",96.83333333333333,88.5,86.66666666666667,87.16666666666667,75.0,86.83333333333334,20.089977979660034
"(3, 4, 0, 2, 1)",67.16666666666667,85.33333333333333,74.5,83.66666666666667,61.333333333333336,74.4,19.97512197494507
"(3, 4, 2, 0, 1)",76.33333333333333,86.66666666666667,75.83333333333333,77.16666666666667,65.83333333333333,76.36666666666666,20.77312421798706
"(4, 3, 0, 1, 2)",90.5,96.66666666666667,82.66666666666667,89.5,77.33333333333333,87.33333333333334,20.368814945220947
"(4, 3, 1, 0, 2)",96.16666666666667,90.66666666666667,86.0,71.83333333333333,64.66666666666667,81.86666666666667,22.27869987487793
"(3, 4, 0, 1, 2)",40.833333333333336,93.66666666666667,93.33333333333333,84.66666666666667,86.83333333333333,79.86666666666666,22.662472009658813
"(3, 4, 1, 0, 2)",87.66666666666667,91.16666666666667,87.0,87.33333333333333,66.33333333333333,83.9,21.166177988052368
"(0, 1, 2, 3, 4)",75.66666666666667,95.33333333333333,94.66666666666667,97.5,91.33333333333333,90.9,20.16627550125122
"(0, 1, 3, 2, 4)",80.83333333333333,94.5,87.0,94.66666666666667,87.5,88.9,20.490163326263428
"(1, 0, 2, 3, 4)",87.33333333333333,87.33333333333333,87.5,95.83333333333333,90.5,89.69999999999999,20.56030011177063
"(1, 0, 3, 2, 4)",73.5,94.66666666666667,91.16666666666667,88.83333333333333,80.33333333333333,85.7,19.719037771224976
"(2, 1, 0, 3, 4)",88.0,95.0,73.5,98.0,89.66666666666667,88.83333333333334,20.069656133651733
"(2, 1, 3, 0, 4)",98.0,93.5,70.83333333333333,98.33333333333333,93.16666666666667,90.76666666666667,19.866796016693115
"(1, 2, 0, 3, 4)",82.0,84.0,75.16666666666667,91.83333333333333,92.0,85.0,19.778438329696655
"(1, 2, 3, 0, 4)",89.16666666666667,93.83333333333333,84.83333333333333,93.0,89.16666666666667,90.0,19.944381952285767
"(0, 3, 4, 1, 2)",60.666666666666664,95.33333333333333,92.66666666666667,92.5,81.0,84.43333333333334,20.066715717315674
"(0, 3, 1, 4, 2)",89.16666666666667,93.66666666666667,83.16666666666667,83.0,68.16666666666667,83.43333333333334,21.643409967422485
"(3, 0, 4, 1, 2)",77.33333333333333,93.5,88.66666666666667,76.0,70.0,81.1,21.632492542266846
"(3, 0, 1, 4, 2)",58.833333333333336,88.5,91.16666666666667,66.16666666666667,68.33333333333333,74.6,20.303740739822388
"(4, 2, 0, 1, 3)",96.66666666666667,93.0,90.33333333333333,98.66666666666667,74.33333333333333,90.6,20.187036514282227
"(4, 2, 1, 0, 3)",95.66666666666667,92.0,73.5,96.33333333333333,73.5,86.2,20.187023162841797
"(2, 4, 0, 1, 3)",93.33333333333333,90.83333333333333,80.0,96.0,87.33333333333333,89.49999999999999,20.51624584197998
"(2, 4, 1, 0, 3)",96.5,95.0,74.83333333333333,93.33333333333333,85.33333333333333,88.99999999999999,20.248353481292725
"(3, 0, 2, 1, 4)",75.83333333333333,91.0,73.16666666666667,90.16666666666667,79.83333333333333,82.0,20.896595001220703
"(3, 0, 1, 2, 4)",67.16666666666667,81.16666666666667,81.33333333333333,84.66666666666667,78.5,78.56666666666668,19.999889373779297
"(0, 3, 2, 1, 4)",70.33333333333333,95.16666666666667,76.83333333333333,89.66666666666667,84.0,83.2,19.744704008102417
"(0, 3, 1, 2, 4)",73.5,93.83333333333333,91.0,87.0,89.83333333333333,87.03333333333333,20.263512134552002
"(3, 2, 1, 4, 0)",98.5,96.33333333333333,86.5,93.5,84.83333333333333,91.93333333333332,20.59299898147583
"(3, 2, 4, 1, 0)",98.33333333333333,95.0,85.0,89.66666666666667,76.83333333333333,88.96666666666667,20.197929620742798
"(2, 3, 1, 4, 0)",99.16666666666667,91.66666666666667,83.83333333333333,90.33333333333333,86.16666666666667,90.23333333333333,19.80863308906555
"(2, 3, 4, 1, 0)",99.0,93.0,63.0,96.83333333333333,83.5,87.06666666666666,20.185555696487427
