sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 2, 3, 4, 1)",78.33333333333333,78.33333333333333,51.666666666666664,90.83333333333333,84.16666666666667,76.66666666666666,8.389758586883545
"(3, 2, 0, 1, 4)",56.666666666666664,84.16666666666667,85.0,88.33333333333333,71.66666666666667,77.16666666666667,7.784632921218872
"(3, 4, 2, 1, 0)",80.83333333333333,76.66666666666667,50.833333333333336,90.0,67.5,73.16666666666667,7.904479742050171
"(4, 3, 0, 1, 2)",80.0,82.5,70.83333333333333,87.5,68.33333333333333,77.83333333333333,8.43269157409668
"(1, 2, 0, 3, 4)",83.33333333333333,85.0,55.0,90.83333333333333,80.83333333333333,78.99999999999999,7.759799480438232
"(3, 2, 1, 4, 0)",65.0,63.333333333333336,67.5,79.16666666666667,70.83333333333333,69.16666666666666,8.301153659820557
"(4, 0, 1, 2, 3)",84.16666666666667,78.33333333333333,80.0,91.66666666666667,80.0,82.83333333333334,8.048044681549072
"(4, 2, 0, 3, 1)",81.66666666666667,85.83333333333333,85.0,93.33333333333333,74.16666666666667,84.0,7.935218572616577
"(1, 4, 3, 2, 0)",78.33333333333333,81.66666666666667,69.16666666666667,93.33333333333333,74.16666666666667,79.33333333333334,8.203282356262207
"(3, 1, 0, 4, 2)",90.0,82.5,80.0,96.66666666666667,80.0,85.83333333333334,7.6818108558654785
"(3, 2, 4, 0, 1)",95.0,72.5,69.16666666666667,81.66666666666667,69.16666666666667,77.50000000000001,7.668625116348267
"(0, 3, 4, 1, 2)",85.0,81.66666666666667,70.83333333333333,85.83333333333333,72.5,79.16666666666666,8.672075271606445
"(4, 0, 1, 3, 2)",70.0,83.33333333333333,67.5,84.16666666666667,74.16666666666667,75.83333333333334,7.800281524658203
"(2, 4, 1, 0, 3)",58.333333333333336,80.83333333333333,79.16666666666667,90.83333333333333,72.5,76.33333333333333,7.819634675979614
"(0, 2, 3, 1, 4)",68.33333333333333,76.66666666666667,76.66666666666667,85.83333333333333,65.83333333333333,74.66666666666666,8.355557680130005
"(0, 2, 1, 4, 3)",65.0,85.83333333333333,80.83333333333333,85.83333333333333,80.0,79.49999999999999,8.216980218887329
"(0, 1, 2, 4, 3)",78.33333333333333,84.16666666666667,67.5,88.33333333333333,81.66666666666667,80.0,8.459653615951538
"(3, 1, 0, 2, 4)",73.33333333333333,72.5,66.66666666666667,70.0,75.83333333333333,71.66666666666666,7.831439256668091
"(1, 0, 3, 2, 4)",81.66666666666667,89.16666666666667,70.0,89.16666666666667,81.66666666666667,82.33333333333334,7.596107006072998
"(0, 4, 2, 3, 1)",85.83333333333333,84.16666666666667,69.16666666666667,90.0,75.0,80.83333333333334,7.95738673210144
