sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 4, 2, 1, 3)",98.16666666666667,84.16666666666667,87.16666666666667,73.83333333333333,87.16666666666667,86.1,110.23953604698181
"(0, 4, 1, 2, 3)",98.16666666666667,84.16666666666667,87.16666666666667,73.83333333333333,87.16666666666667,86.1,110.23953604698181
"(4, 0, 2, 1, 3)",98.16666666666667,84.16666666666667,87.16666666666667,73.83333333333333,87.16666666666667,86.1,110.23953604698181
"(4, 0, 1, 2, 3)",98.16666666666667,84.16666666666667,87.16666666666667,73.83333333333333,87.16666666666667,86.1,110.23953604698181
"(1, 4, 2, 0, 3)",97.16666666666667,93.33333333333333,93.16666666666667,97.16666666666667,91.83333333333333,94.53333333333333,107.42024183273315
"(1, 4, 0, 2, 3)",97.16666666666667,93.33333333333333,93.16666666666667,97.16666666666667,91.83333333333333,94.53333333333333,107.42024183273315
"(4, 1, 2, 0, 3)",97.16666666666667,93.33333333333333,93.16666666666667,97.16666666666667,91.83333333333333,94.53333333333333,107.42024183273315
"(4, 1, 0, 2, 3)",97.16666666666667,93.33333333333333,93.16666666666667,97.16666666666667,91.83333333333333,94.53333333333333,107.42024183273315
"(4, 3, 0, 2, 1)",81.16666666666667,97.0,87.16666666666667,90.5,88.66666666666667,88.9,114.68711423873901
"(4, 3, 2, 0, 1)",81.16666666666667,97.0,87.16666666666667,90.5,88.66666666666667,88.9,114.68711423873901
"(3, 4, 0, 2, 1)",81.16666666666667,97.0,87.16666666666667,90.5,88.66666666666667,88.9,114.68711423873901
"(3, 4, 2, 0, 1)",81.16666666666667,97.0,87.16666666666667,90.5,88.66666666666667,88.9,114.68711423873901
"(4, 3, 0, 1, 2)",94.83333333333333,97.33333333333333,90.66666666666667,93.83333333333333,91.16666666666667,93.56666666666666,116.20028495788574
"(4, 3, 1, 0, 2)",94.83333333333333,97.33333333333333,90.66666666666667,93.83333333333333,91.16666666666667,93.56666666666666,116.20028495788574
"(3, 4, 0, 1, 2)",94.83333333333333,97.33333333333333,90.66666666666667,93.83333333333333,91.16666666666667,93.56666666666666,116.20028495788574
"(3, 4, 1, 0, 2)",94.83333333333333,97.33333333333333,90.66666666666667,93.83333333333333,91.16666666666667,93.56666666666666,116.20028495788574
"(0, 1, 2, 3, 4)",97.66666666666667,93.33333333333333,93.66666666666667,95.16666666666667,92.83333333333333,94.53333333333333,112.35204672813416
"(0, 1, 3, 2, 4)",97.66666666666667,93.33333333333333,93.66666666666667,95.16666666666667,92.83333333333333,94.53333333333333,112.35204672813416
"(1, 0, 2, 3, 4)",97.66666666666667,93.33333333333333,93.66666666666667,95.16666666666667,92.83333333333333,94.53333333333333,112.35204672813416
"(1, 0, 3, 2, 4)",97.66666666666667,93.33333333333333,93.66666666666667,95.16666666666667,92.83333333333333,94.53333333333333,112.35204672813416
"(2, 1, 0, 3, 4)",94.33333333333333,94.66666666666667,98.83333333333333,97.83333333333333,89.0,94.93333333333332,110.69289493560791
"(2, 1, 3, 0, 4)",94.33333333333333,94.66666666666667,98.83333333333333,97.83333333333333,89.0,94.93333333333332,110.69289493560791
"(1, 2, 0, 3, 4)",94.33333333333333,94.66666666666667,98.83333333333333,97.83333333333333,89.0,94.93333333333332,110.69289493560791
"(1, 2, 3, 0, 4)",94.33333333333333,94.66666666666667,98.83333333333333,97.83333333333333,89.0,94.93333333333332,110.69289493560791
"(0, 3, 4, 1, 2)",98.66666666666667,97.66666666666667,88.83333333333333,94.33333333333333,93.66666666666667,94.63333333333334,105.32562136650085
"(0, 3, 1, 4, 2)",98.66666666666667,97.66666666666667,88.83333333333333,94.33333333333333,93.66666666666667,94.63333333333334,105.32562136650085
"(3, 0, 4, 1, 2)",98.66666666666667,97.66666666666667,88.83333333333333,94.33333333333333,93.66666666666667,94.63333333333334,105.32562136650085
