sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 4, 2, 1, 3)",94.66666666666667,95.66666666666667,82.16666666666667,97.5,91.83333333333333,92.36666666666666,20.31051778793335
"(0, 4, 1, 2, 3)",89.5,93.16666666666667,86.33333333333333,95.83333333333333,94.0,91.76666666666667,19.892245531082153
"(4, 0, 2, 1, 3)",94.66666666666667,93.66666666666667,91.5,96.5,90.5,93.36666666666667,19.33841609954834
"(4, 0, 1, 2, 3)",95.5,92.5,88.83333333333333,97.83333333333333,82.66666666666667,91.46666666666667,19.781378507614136
"(1, 4, 2, 0, 3)",96.83333333333333,85.33333333333333,89.66666666666667,98.0,92.5,92.46666666666667,19.57234215736389
"(1, 4, 0, 2, 3)",97.5,91.83333333333333,90.5,97.33333333333333,83.0,92.03333333333333,19.63817834854126
"(4, 1, 2, 0, 3)",98.83333333333333,98.0,92.66666666666667,95.83333333333333,90.66666666666667,95.2,19.372177362442017
"(4, 1, 0, 2, 3)",99.0,93.5,92.0,97.5,80.0,92.4,19.128666639328003
"(4, 3, 0, 2, 1)",97.66666666666667,96.66666666666667,94.16666666666667,96.0,87.16666666666667,94.33333333333334,18.855536460876465
"(4, 3, 2, 0, 1)",98.83333333333333,96.5,95.0,96.33333333333333,82.16666666666667,93.76666666666667,19.394368410110474
"(3, 4, 0, 2, 1)",98.5,96.5,96.83333333333333,94.66666666666667,73.33333333333333,91.96666666666667,20.699923992156982
"(3, 4, 2, 0, 1)",94.83333333333333,92.83333333333333,84.0,97.5,90.66666666666667,91.96666666666667,20.462376832962036
"(4, 3, 0, 1, 2)",71.83333333333333,90.5,86.66666666666667,77.66666666666667,80.5,81.43333333333334,19.303398847579956
"(4, 3, 1, 0, 2)",90.83333333333333,89.16666666666667,87.83333333333333,65.83333333333333,58.166666666666664,78.36666666666666,19.440239667892456
"(3, 4, 0, 1, 2)",75.83333333333333,81.16666666666667,83.83333333333333,89.33333333333333,75.0,81.03333333333333,19.22236943244934
"(3, 4, 1, 0, 2)",99.16666666666667,95.0,92.16666666666667,95.83333333333333,87.66666666666667,93.96666666666667,18.831632137298584
"(0, 1, 2, 3, 4)",75.33333333333333,98.33333333333333,96.16666666666667,92.5,90.83333333333333,90.63333333333333,19.204878568649292
"(0, 1, 3, 2, 4)",86.5,95.16666666666667,93.83333333333333,95.5,93.66666666666667,92.93333333333334,18.4332754611969
"(1, 0, 2, 3, 4)",91.66666666666667,94.5,94.66666666666667,94.83333333333333,87.33333333333333,92.6,19.499758005142212
"(1, 0, 3, 2, 4)",82.66666666666667,81.66666666666667,82.66666666666667,94.33333333333333,86.5,85.56666666666666,18.468785524368286
"(2, 1, 0, 3, 4)",98.33333333333333,94.83333333333333,86.5,97.66666666666667,93.16666666666667,94.1,18.604953289031982
"(2, 1, 3, 0, 4)",98.16666666666667,92.16666666666667,77.33333333333333,97.16666666666667,92.83333333333333,91.53333333333333,19.39924907684326
"(1, 2, 0, 3, 4)",98.16666666666667,95.16666666666667,90.66666666666667,97.16666666666667,93.33333333333333,94.9,18.702888011932373
"(1, 2, 3, 0, 4)",97.33333333333333,86.83333333333333,74.16666666666667,97.33333333333333,93.33333333333333,89.79999999999998,18.549315214157104
"(0, 3, 4, 1, 2)",86.0,90.16666666666667,89.33333333333333,96.33333333333333,86.66666666666667,89.7,18.741260290145874
"(0, 3, 1, 4, 2)",55.333333333333336,93.5,91.5,81.0,83.83333333333333,81.03333333333333,18.658583879470825
"(3, 0, 4, 1, 2)",42.166666666666664,93.83333333333333,94.83333333333333,67.66666666666667,77.5,75.2,18.56706976890564
"(3, 0, 1, 4, 2)",83.66666666666667,91.16666666666667,92.83333333333333,96.16666666666667,93.16666666666667,91.4,18.902974605560303
"(4, 2, 0, 1, 3)",83.66666666666667,77.16666666666667,74.5,94.0,70.16666666666667,79.9,19.21777033805847
"(4, 2, 1, 0, 3)",98.5,92.83333333333333,82.33333333333333,96.16666666666667,79.33333333333333,89.83333333333333,18.78303813934326
"(2, 4, 0, 1, 3)",93.16666666666667,95.0,82.83333333333333,96.83333333333333,91.16666666666667,91.8,20.707961082458496
"(2, 4, 1, 0, 3)",99.33333333333333,93.5,79.33333333333333,95.16666666666667,85.33333333333333,90.53333333333333,19.783809661865234
"(3, 0, 2, 1, 4)",97.5,93.83333333333333,89.33333333333333,97.16666666666667,90.66666666666667,93.7,18.360150814056396
"(3, 0, 1, 2, 4)",91.33333333333333,95.83333333333333,90.33333333333333,87.0,94.5,91.8,18.433797121047974
"(0, 3, 2, 1, 4)",59.0,90.0,77.16666666666667,73.0,79.0,75.63333333333334,17.89638876914978
"(0, 3, 1, 2, 4)",68.66666666666667,98.0,95.66666666666667,94.83333333333333,91.5,89.73333333333333,18.912338733673096
"(3, 2, 1, 4, 0)",97.16666666666667,96.16666666666667,85.16666666666667,92.66666666666667,84.83333333333333,91.2,19.36844515800476
"(3, 2, 4, 1, 0)",94.33333333333333,73.5,74.16666666666667,93.5,77.0,82.5,19.332879304885864
"(2, 3, 1, 4, 0)",97.33333333333333,94.83333333333333,73.66666666666667,93.66666666666667,87.66666666666667,89.43333333333334,18.005410194396973
"(2, 3, 4, 1, 0)",91.33333333333333,91.33333333333333,76.0,97.0,81.83333333333333,87.49999999999999,19.63020086288452
