sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 2, 3, 4, 1)",80.83333333333333,63.333333333333336,81.66666666666667,87.5,72.5,77.16666666666666,10.262650966644287
"(3, 2, 0, 1, 4)",65.0,83.33333333333333,73.33333333333333,87.5,80.83333333333333,77.99999999999999,11.02787709236145
"(3, 4, 2, 1, 0)",78.33333333333333,95.0,84.16666666666667,94.16666666666667,91.66666666666667,88.66666666666667,10.809515714645386
"(4, 3, 0, 1, 2)",95.0,85.83333333333333,76.66666666666667,95.83333333333333,76.66666666666667,86.0,10.207068681716919
"(1, 2, 0, 3, 4)",96.66666666666667,91.66666666666667,72.5,90.0,92.5,88.66666666666667,11.216850280761719
"(3, 2, 1, 4, 0)",89.16666666666667,91.66666666666667,86.66666666666667,94.16666666666667,85.83333333333333,89.5,10.277679204940796
"(4, 0, 1, 2, 3)",76.66666666666667,97.5,82.5,93.33333333333333,84.16666666666667,86.83333333333334,10.095348834991455
"(4, 2, 0, 3, 1)",92.5,91.66666666666667,83.33333333333333,95.0,85.0,89.5,9.921172380447388
"(1, 4, 3, 2, 0)",94.16666666666667,92.5,81.66666666666667,87.5,85.83333333333333,88.33333333333334,10.38982629776001
"(3, 1, 0, 4, 2)",89.16666666666667,94.16666666666667,77.5,96.66666666666667,94.16666666666667,90.33333333333334,10.402342081069946
"(3, 2, 4, 0, 1)",83.33333333333333,82.5,72.5,89.16666666666667,81.66666666666667,81.83333333333334,10.11517596244812
"(0, 3, 4, 1, 2)",95.0,91.66666666666667,72.5,92.5,90.0,88.33333333333334,10.421143531799316
"(4, 0, 1, 3, 2)",99.16666666666667,86.66666666666667,85.83333333333333,90.83333333333333,80.83333333333333,88.66666666666666,11.00233244895935
"(2, 4, 1, 0, 3)",83.33333333333333,93.33333333333333,91.66666666666667,90.0,75.0,86.66666666666666,10.011788606643677
"(0, 2, 3, 1, 4)",78.33333333333333,90.0,80.83333333333333,94.16666666666667,93.33333333333333,87.33333333333333,10.739929914474487
"(0, 2, 1, 4, 3)",87.5,89.16666666666667,80.0,95.83333333333333,90.83333333333333,88.66666666666666,10.420280456542969
"(0, 1, 2, 4, 3)",84.16666666666667,85.83333333333333,80.0,95.0,86.66666666666667,86.33333333333334,10.547268629074097
"(3, 1, 0, 2, 4)",95.83333333333333,85.83333333333333,83.33333333333333,83.33333333333333,82.5,86.16666666666666,10.4610276222229
"(1, 0, 3, 2, 4)",76.66666666666667,91.66666666666667,90.0,81.66666666666667,75.83333333333333,83.16666666666667,10.173659563064575
"(0, 4, 2, 3, 1)",75.0,90.83333333333333,75.0,91.66666666666667,80.0,82.5,10.3810555934906
