sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 4, 2, 1, 3)",97.5,88.33333333333333,91.66666666666667,87.5,90.0,91.0,24.84734058380127
"(0, 4, 1, 2, 3)",97.5,88.33333333333333,91.66666666666667,87.5,90.0,91.0,24.84734058380127
"(4, 0, 2, 1, 3)",97.5,88.33333333333333,91.66666666666667,87.5,90.0,91.0,24.84734058380127
"(4, 0, 1, 2, 3)",97.5,88.33333333333333,91.66666666666667,87.5,90.0,91.0,24.84734058380127
"(1, 4, 2, 0, 3)",95.0,85.0,85.83333333333333,97.5,91.66666666666667,91.0,27.68912625312805
"(1, 4, 0, 2, 3)",95.0,85.0,85.83333333333333,97.5,91.66666666666667,91.0,27.68912625312805
"(4, 1, 2, 0, 3)",95.0,85.0,85.83333333333333,97.5,91.66666666666667,91.0,27.68912625312805
"(4, 1, 0, 2, 3)",95.0,85.0,85.83333333333333,97.5,91.66666666666667,91.0,27.68912625312805
"(4, 3, 0, 2, 1)",89.16666666666667,92.5,95.0,79.16666666666667,90.0,89.16666666666667,25.453995943069458
"(4, 3, 2, 0, 1)",89.16666666666667,92.5,95.0,79.16666666666667,90.0,89.16666666666667,25.453995943069458
"(3, 4, 0, 2, 1)",89.16666666666667,92.5,95.0,79.16666666666667,90.0,89.16666666666667,25.453995943069458
"(3, 4, 2, 0, 1)",89.16666666666667,92.5,95.0,79.16666666666667,90.0,89.16666666666667,25.453995943069458
"(4, 3, 0, 1, 2)",93.33333333333333,90.83333333333333,94.16666666666667,89.16666666666667,84.16666666666667,90.33333333333334,24.068894863128662
"(4, 3, 1, 0, 2)",93.33333333333333,90.83333333333333,94.16666666666667,89.16666666666667,84.16666666666667,90.33333333333334,24.068894863128662
"(3, 4, 0, 1, 2)",93.33333333333333,90.83333333333333,94.16666666666667,89.16666666666667,84.16666666666667,90.33333333333334,24.068894863128662
"(3, 4, 1, 0, 2)",93.33333333333333,90.83333333333333,94.16666666666667,89.16666666666667,84.16666666666667,90.33333333333334,24.068894863128662
"(0, 1, 2, 3, 4)",74.16666666666667,82.5,71.66666666666667,83.33333333333333,68.33333333333333,76.0,25.011745929718018
"(0, 1, 3, 2, 4)",74.16666666666667,82.5,71.66666666666667,83.33333333333333,68.33333333333333,76.0,25.011745929718018
"(1, 0, 2, 3, 4)",74.16666666666667,82.5,71.66666666666667,83.33333333333333,68.33333333333333,76.0,25.011745929718018
"(1, 0, 3, 2, 4)",74.16666666666667,82.5,71.66666666666667,83.33333333333333,68.33333333333333,76.0,25.011745929718018
