sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 4, 2, 1, 3)",70.0,80.0,69.16666666666667,88.33333333333333,70.0,75.5,8.429872035980225
"(0, 4, 1, 2, 3)",42.5,85.83333333333333,75.83333333333333,85.83333333333333,78.33333333333333,73.66666666666666,8.199487924575806
"(4, 0, 2, 1, 3)",50.0,86.66666666666667,63.333333333333336,90.83333333333333,71.66666666666667,72.50000000000001,7.9394690990448
"(4, 0, 1, 2, 3)",75.83333333333333,68.33333333333333,61.666666666666664,81.66666666666667,61.666666666666664,69.83333333333334,8.125542402267456
"(1, 4, 2, 0, 3)",95.0,83.33333333333333,60.0,90.83333333333333,75.0,80.83333333333333,8.159292221069336
"(1, 4, 0, 2, 3)",82.5,81.66666666666667,75.0,91.66666666666667,77.5,81.66666666666667,8.271713972091675
"(4, 1, 2, 0, 3)",73.33333333333333,86.66666666666667,77.5,81.66666666666667,80.83333333333333,80.0,8.672589540481567
"(4, 1, 0, 2, 3)",42.5,77.5,70.0,89.16666666666667,75.0,70.83333333333334,8.152438163757324
"(4, 3, 0, 2, 1)",73.33333333333333,80.0,79.16666666666667,88.33333333333333,66.66666666666667,77.5,8.220379829406738
"(4, 3, 2, 0, 1)",66.66666666666667,84.16666666666667,80.83333333333333,92.5,81.66666666666667,81.16666666666667,8.228718519210815
"(3, 4, 0, 2, 1)",33.333333333333336,85.83333333333333,71.66666666666667,87.5,76.66666666666667,71.0,8.288161993026733
"(3, 4, 2, 0, 1)",74.16666666666667,70.0,71.66666666666667,94.16666666666667,60.833333333333336,74.16666666666667,8.061493635177612
"(4, 3, 0, 1, 2)",95.83333333333333,92.5,81.66666666666667,93.33333333333333,80.83333333333333,88.83333333333333,8.195734024047852
"(4, 3, 1, 0, 2)",95.83333333333333,78.33333333333333,78.33333333333333,85.0,76.66666666666667,82.83333333333334,8.033201217651367
"(3, 4, 0, 1, 2)",85.83333333333333,77.5,71.66666666666667,89.16666666666667,59.166666666666664,76.66666666666667,7.9773619174957275
"(3, 4, 1, 0, 2)",70.0,81.66666666666667,77.5,85.0,73.33333333333333,77.5,8.329843759536743
"(0, 1, 2, 3, 4)",75.83333333333333,81.66666666666667,83.33333333333333,88.33333333333333,72.5,80.33333333333333,8.156948328018188
"(0, 1, 3, 2, 4)",87.5,73.33333333333333,64.16666666666667,78.33333333333333,72.5,75.16666666666666,8.21233868598938
"(1, 0, 2, 3, 4)",81.66666666666667,85.0,76.66666666666667,86.66666666666667,84.16666666666667,82.83333333333334,7.761395692825317
"(1, 0, 3, 2, 4)",85.83333333333333,89.16666666666667,70.83333333333333,96.66666666666667,72.5,83.0,8.09692907333374
