sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 4, 2, 1, 3)",90.66666666666667,87.33333333333333,40.333333333333336,51.833333333333336,76.33333333333333,69.3,94.29767322540283
"(0, 4, 1, 2, 3)",90.66666666666667,87.33333333333333,40.333333333333336,51.833333333333336,76.33333333333333,69.3,94.29767322540283
"(4, 0, 2, 1, 3)",90.66666666666667,87.33333333333333,40.333333333333336,51.833333333333336,76.33333333333333,69.3,94.29767322540283
"(4, 0, 1, 2, 3)",90.66666666666667,87.33333333333333,40.333333333333336,51.833333333333336,76.33333333333333,69.3,94.29767322540283
"(1, 4, 2, 0, 3)",96.16666666666667,92.66666666666667,56.5,66.33333333333333,75.66666666666667,77.46666666666667,94.42187333106995
"(1, 4, 0, 2, 3)",96.16666666666667,92.66666666666667,56.5,66.33333333333333,75.66666666666667,77.46666666666667,94.42187333106995
"(4, 1, 2, 0, 3)",96.16666666666667,92.66666666666667,56.5,66.33333333333333,75.66666666666667,77.46666666666667,94.42187333106995
"(4, 1, 0, 2, 3)",96.16666666666667,92.66666666666667,56.5,66.33333333333333,75.66666666666667,77.46666666666667,94.42187333106995
"(4, 3, 0, 2, 1)",93.0,96.66666666666667,36.833333333333336,44.333333333333336,70.83333333333333,68.33333333333334,94.38897466659546
"(4, 3, 2, 0, 1)",93.0,96.66666666666667,36.833333333333336,44.333333333333336,70.83333333333333,68.33333333333334,94.38897466659546
"(3, 4, 0, 2, 1)",93.0,96.66666666666667,36.833333333333336,44.333333333333336,70.83333333333333,68.33333333333334,94.38897466659546
"(3, 4, 2, 0, 1)",93.0,96.66666666666667,36.833333333333336,44.333333333333336,70.83333333333333,68.33333333333334,94.38897466659546
"(4, 3, 0, 1, 2)",84.33333333333333,92.16666666666667,89.16666666666667,71.0,43.166666666666664,75.96666666666667,94.19790720939636
"(4, 3, 1, 0, 2)",84.33333333333333,92.16666666666667,89.16666666666667,71.0,43.166666666666664,75.96666666666667,94.19790720939636
"(3, 4, 0, 1, 2)",84.33333333333333,92.16666666666667,89.16666666666667,71.0,43.166666666666664,75.96666666666667,94.19790720939636
"(3, 4, 1, 0, 2)",84.33333333333333,92.16666666666667,89.16666666666667,71.0,43.166666666666664,75.96666666666667,94.19790720939636
"(0, 1, 2, 3, 4)",99.0,95.0,71.33333333333333,86.33333333333333,56.333333333333336,81.6,94.82128858566284
"(0, 1, 3, 2, 4)",99.0,95.0,71.33333333333333,86.33333333333333,56.333333333333336,81.6,94.82128858566284
"(1, 0, 2, 3, 4)",99.0,95.0,71.33333333333333,86.33333333333333,56.333333333333336,81.6,94.82128858566284
"(1, 0, 3, 2, 4)",99.0,95.0,71.33333333333333,86.33333333333333,56.333333333333336,81.6,94.82128858566284
"(2, 1, 0, 3, 4)",98.5,97.0,84.5,83.33333333333333,28.5,78.36666666666666,95.44240188598633
"(2, 1, 3, 0, 4)",98.5,97.0,84.5,83.33333333333333,28.5,78.36666666666666,95.44240188598633
"(1, 2, 0, 3, 4)",98.5,97.0,84.5,83.33333333333333,28.5,78.36666666666666,95.44240188598633
"(1, 2, 3, 0, 4)",98.5,97.0,84.5,83.33333333333333,28.5,78.36666666666666,95.44240188598633
"(0, 3, 4, 1, 2)",98.33333333333333,98.33333333333333,65.33333333333333,70.66666666666667,45.0,75.53333333333333,95.38528633117676
"(0, 3, 1, 4, 2)",98.33333333333333,98.33333333333333,65.33333333333333,70.66666666666667,45.0,75.53333333333333,95.38528633117676
"(3, 0, 4, 1, 2)",98.33333333333333,98.33333333333333,65.33333333333333,70.66666666666667,45.0,75.53333333333333,95.38528633117676
"(3, 0, 1, 4, 2)",98.33333333333333,98.33333333333333,65.33333333333333,70.66666666666667,45.0,75.53333333333333,95.38528633117676
"(4, 2, 0, 1, 3)",90.16666666666667,82.83333333333333,39.166666666666664,83.83333333333333,59.0,71.0,93.99762654304504
"(4, 2, 1, 0, 3)",90.16666666666667,82.83333333333333,39.166666666666664,83.83333333333333,59.0,71.0,93.99762654304504
"(2, 4, 0, 1, 3)",90.16666666666667,82.83333333333333,39.166666666666664,83.83333333333333,59.0,71.0,93.99762654304504
"(2, 4, 1, 0, 3)",90.16666666666667,82.83333333333333,39.166666666666664,83.83333333333333,59.0,71.0,93.99762654304504
"(3, 0, 2, 1, 4)",98.5,94.33333333333333,54.166666666666664,71.16666666666667,59.166666666666664,75.46666666666667,94.35001182556152
"(3, 0, 1, 2, 4)",98.5,94.33333333333333,54.166666666666664,71.16666666666667,59.166666666666664,75.46666666666667,94.35001182556152
"(0, 3, 2, 1, 4)",98.5,94.33333333333333,54.166666666666664,71.16666666666667,59.166666666666664,75.46666666666667,94.35001182556152
"(0, 3, 1, 2, 4)",98.5,94.33333333333333,54.166666666666664,71.16666666666667,59.166666666666664,75.46666666666667,94.35001182556152
"(3, 2, 1, 4, 0)",94.5,93.5,77.66666666666667,37.833333333333336,58.166666666666664,72.33333333333334,96.6397750377655
"(3, 2, 4, 1, 0)",94.5,93.5,77.66666666666667,37.833333333333336,58.166666666666664,72.33333333333334,96.6397750377655
"(2, 3, 1, 4, 0)",94.5,93.5,77.66666666666667,37.833333333333336,58.166666666666664,72.33333333333334,96.6397750377655
"(2, 3, 4, 1, 0)",94.5,93.5,77.66666666666667,37.833333333333336,58.166666666666664,72.33333333333334,96.6397750377655
"(0, 1, 4, 3, 2)",99.0,95.83333333333333,63.166666666666664,90.16666666666667,59.666666666666664,81.56666666666668,97.89904022216797
"(0, 1, 3, 4, 2)",99.0,95.83333333333333,63.166666666666664,90.16666666666667,59.666666666666664,81.56666666666668,97.89904022216797
"(1, 0, 4, 3, 2)",99.0,95.83333333333333,63.166666666666664,90.16666666666667,59.666666666666664,81.56666666666668,97.89904022216797
"(1, 0, 3, 4, 2)",99.0,95.83333333333333,63.166666666666664,90.16666666666667,59.666666666666664,81.56666666666668,97.89904022216797
"(2, 0, 3, 1, 4)",92.5,99.5,73.5,78.16666666666667,22.833333333333332,73.3,95.00164246559143
"(2, 0, 1, 3, 4)",92.5,99.5,73.5,78.16666666666667,22.833333333333332,73.3,95.00164246559143
"(0, 2, 3, 1, 4)",92.5,99.5,73.5,78.16666666666667,22.833333333333332,73.3,95.00164246559143
"(0, 2, 1, 3, 4)",92.5,99.5,73.5,78.16666666666667,22.833333333333332,73.3,95.00164246559143
"(3, 4, 2, 1, 0)",96.0,95.33333333333333,36.0,60.0,73.33333333333333,72.13333333333333,94.37266278266907
"(3, 4, 1, 2, 0)",96.0,95.33333333333333,36.0,60.0,73.33333333333333,72.13333333333333,94.37266278266907
"(4, 3, 2, 1, 0)",96.0,95.33333333333333,36.0,60.0,73.33333333333333,72.13333333333333,94.37266278266907
"(4, 3, 1, 2, 0)",96.0,95.33333333333333,36.0,60.0,73.33333333333333,72.13333333333333,94.37266278266907
"(1, 4, 2, 3, 0)",90.83333333333333,96.66666666666667,46.5,88.83333333333333,64.83333333333333,77.53333333333333,96.72932171821594
"(1, 4, 3, 2, 0)",90.83333333333333,96.66666666666667,46.5,88.83333333333333,64.83333333333333,77.53333333333333,96.72932171821594
"(4, 1, 2, 3, 0)",90.83333333333333,96.66666666666667,46.5,88.83333333333333,64.83333333333333,77.53333333333333,96.72932171821594
"(4, 1, 3, 2, 0)",90.83333333333333,96.66666666666667,46.5,88.83333333333333,64.83333333333333,77.53333333333333,96.72932171821594
"(4, 0, 2, 3, 1)",95.0,98.0,35.5,86.66666666666667,63.666666666666664,75.76666666666668,95.36018657684326
"(4, 0, 3, 2, 1)",95.0,98.0,35.5,86.66666666666667,63.666666666666664,75.76666666666668,95.36018657684326
"(0, 4, 2, 3, 1)",95.0,98.0,35.5,86.66666666666667,63.666666666666664,75.76666666666668,95.36018657684326
"(0, 4, 3, 2, 1)",95.0,98.0,35.5,86.66666666666667,63.666666666666664,75.76666666666668,95.36018657684326
