sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 4, 2, 1, 3)",98.16666666666667,92.66666666666667,35.5,61.333333333333336,84.33333333333333,74.4,95.49013662338257
"(0, 4, 1, 2, 3)",98.16666666666667,92.66666666666667,35.5,61.333333333333336,84.33333333333333,74.4,95.49013662338257
"(4, 0, 2, 1, 3)",98.16666666666667,92.66666666666667,35.5,61.333333333333336,84.33333333333333,74.4,95.49013662338257
"(4, 0, 1, 2, 3)",98.16666666666667,92.66666666666667,35.5,61.333333333333336,84.33333333333333,74.4,95.49013662338257
"(1, 4, 2, 0, 3)",91.0,75.66666666666667,51.0,75.0,85.16666666666667,75.56666666666668,97.22071313858032
"(1, 4, 0, 2, 3)",91.0,75.66666666666667,51.0,75.0,85.16666666666667,75.56666666666668,97.22071313858032
"(4, 1, 2, 0, 3)",91.0,75.66666666666667,51.0,75.0,85.16666666666667,75.56666666666668,97.22071313858032
"(4, 1, 0, 2, 3)",91.0,75.66666666666667,51.0,75.0,85.16666666666667,75.56666666666668,97.22071313858032
"(4, 3, 0, 2, 1)",93.0,96.0,63.5,40.333333333333336,56.166666666666664,69.8,98.488924741745
"(4, 3, 2, 0, 1)",93.0,96.0,63.5,40.333333333333336,56.166666666666664,69.8,98.488924741745
"(3, 4, 0, 2, 1)",93.0,96.0,63.5,40.333333333333336,56.166666666666664,69.8,98.488924741745
"(3, 4, 2, 0, 1)",93.0,96.0,63.5,40.333333333333336,56.166666666666664,69.8,98.488924741745
"(4, 3, 0, 1, 2)",95.5,99.83333333333333,80.66666666666667,70.33333333333333,34.833333333333336,76.23333333333332,98.45009899139404
"(4, 3, 1, 0, 2)",95.5,99.83333333333333,80.66666666666667,70.33333333333333,34.833333333333336,76.23333333333332,98.45009899139404
"(3, 4, 0, 1, 2)",95.5,99.83333333333333,80.66666666666667,70.33333333333333,34.833333333333336,76.23333333333332,98.45009899139404
"(3, 4, 1, 0, 2)",95.5,99.83333333333333,80.66666666666667,70.33333333333333,34.833333333333336,76.23333333333332,98.45009899139404
"(0, 1, 2, 3, 4)",97.66666666666667,97.0,72.83333333333333,87.0,63.833333333333336,83.66666666666666,95.96686363220215
"(0, 1, 3, 2, 4)",97.66666666666667,97.0,72.83333333333333,87.0,63.833333333333336,83.66666666666666,95.96686363220215
"(1, 0, 2, 3, 4)",97.66666666666667,97.0,72.83333333333333,87.0,63.833333333333336,83.66666666666666,95.96686363220215
"(1, 0, 3, 2, 4)",97.66666666666667,97.0,72.83333333333333,87.0,63.833333333333336,83.66666666666666,95.96686363220215
"(2, 1, 0, 3, 4)",97.66666666666667,97.0,88.66666666666667,82.5,25.0,78.16666666666667,96.40704917907715
"(2, 1, 3, 0, 4)",97.66666666666667,97.0,88.66666666666667,82.5,25.0,78.16666666666667,96.40704917907715
"(1, 2, 0, 3, 4)",97.66666666666667,97.0,88.66666666666667,82.5,25.0,78.16666666666667,96.40704917907715
"(1, 2, 3, 0, 4)",97.66666666666667,97.0,88.66666666666667,82.5,25.0,78.16666666666667,96.40704917907715
"(0, 3, 4, 1, 2)",98.83333333333333,98.66666666666667,74.33333333333333,76.83333333333333,51.0,79.93333333333332,95.7569351196289
"(0, 3, 1, 4, 2)",98.83333333333333,98.66666666666667,74.33333333333333,76.83333333333333,51.0,79.93333333333332,95.7569351196289
"(3, 0, 4, 1, 2)",98.83333333333333,98.66666666666667,74.33333333333333,76.83333333333333,51.0,79.93333333333332,95.7569351196289
"(3, 0, 1, 4, 2)",98.83333333333333,98.66666666666667,74.33333333333333,76.83333333333333,51.0,79.93333333333332,95.7569351196289
"(4, 2, 0, 1, 3)",93.33333333333333,89.66666666666667,47.666666666666664,76.16666666666667,75.66666666666667,76.5,96.13412952423096
"(4, 2, 1, 0, 3)",93.33333333333333,89.66666666666667,47.666666666666664,76.16666666666667,75.66666666666667,76.5,96.13412952423096
"(2, 4, 0, 1, 3)",93.33333333333333,89.66666666666667,47.666666666666664,76.16666666666667,75.66666666666667,76.5,96.13412952423096
"(2, 4, 1, 0, 3)",93.33333333333333,89.66666666666667,47.666666666666664,76.16666666666667,75.66666666666667,76.5,96.13412952423096
"(3, 0, 2, 1, 4)",97.16666666666667,98.66666666666667,50.166666666666664,67.16666666666667,55.0,73.63333333333334,95.59889197349548
"(3, 0, 1, 2, 4)",97.16666666666667,98.66666666666667,50.166666666666664,67.16666666666667,55.0,73.63333333333334,95.59889197349548
"(0, 3, 2, 1, 4)",97.16666666666667,98.66666666666667,50.166666666666664,67.16666666666667,55.0,73.63333333333334,95.59889197349548
"(0, 3, 1, 2, 4)",97.16666666666667,98.66666666666667,50.166666666666664,67.16666666666667,55.0,73.63333333333334,95.59889197349548
"(3, 2, 1, 4, 0)",96.16666666666667,94.5,75.0,52.5,59.166666666666664,75.46666666666667,96.05106282234192
"(3, 2, 4, 1, 0)",96.16666666666667,94.5,75.0,52.5,59.166666666666664,75.46666666666667,96.05106282234192
"(2, 3, 1, 4, 0)",96.16666666666667,94.5,75.0,52.5,59.166666666666664,75.46666666666667,96.05106282234192
"(2, 3, 4, 1, 0)",96.16666666666667,94.5,75.0,52.5,59.166666666666664,75.46666666666667,96.05106282234192
"(0, 1, 4, 3, 2)",98.33333333333333,97.0,58.833333333333336,89.66666666666667,67.83333333333333,82.33333333333333,98.90975069999695
"(0, 1, 3, 4, 2)",98.33333333333333,97.0,58.833333333333336,89.66666666666667,67.83333333333333,82.33333333333333,98.90975069999695
"(1, 0, 4, 3, 2)",98.33333333333333,97.0,58.833333333333336,89.66666666666667,67.83333333333333,82.33333333333333,98.90975069999695
"(1, 0, 3, 4, 2)",98.33333333333333,97.0,58.833333333333336,89.66666666666667,67.83333333333333,82.33333333333333,98.90975069999695
"(2, 0, 3, 1, 4)",98.33333333333333,99.16666666666667,78.33333333333333,76.33333333333333,25.166666666666668,75.46666666666667,96.64405703544617
"(2, 0, 1, 3, 4)",98.33333333333333,99.16666666666667,78.33333333333333,76.33333333333333,25.166666666666668,75.46666666666667,96.64405703544617
