sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 4, 2, 1, 3)",96.5,92.83333333333333,38.166666666666664,57.833333333333336,85.5,74.16666666666666,118.96730756759644
"(0, 4, 1, 2, 3)",96.5,92.83333333333333,38.166666666666664,57.833333333333336,85.5,74.16666666666666,118.96730756759644
"(4, 0, 2, 1, 3)",96.5,92.83333333333333,38.166666666666664,57.833333333333336,85.5,74.16666666666666,118.96730756759644
"(4, 0, 1, 2, 3)",96.5,92.83333333333333,38.166666666666664,57.833333333333336,85.5,74.16666666666666,118.96730756759644
"(1, 4, 2, 0, 3)",96.16666666666667,91.66666666666667,51.0,75.83333333333333,91.33333333333333,81.2,121.16618633270264
"(1, 4, 0, 2, 3)",96.16666666666667,91.66666666666667,51.0,75.83333333333333,91.33333333333333,81.2,121.16618633270264
"(4, 1, 2, 0, 3)",96.16666666666667,91.66666666666667,51.0,75.83333333333333,91.33333333333333,81.2,121.16618633270264
"(4, 1, 0, 2, 3)",96.16666666666667,91.66666666666667,51.0,75.83333333333333,91.33333333333333,81.2,121.16618633270264
"(4, 3, 0, 2, 1)",95.0,97.5,73.5,28.833333333333332,64.33333333333333,71.83333333333333,123.10794234275818
"(4, 3, 2, 0, 1)",95.0,97.5,73.5,28.833333333333332,64.33333333333333,71.83333333333333,123.10794234275818
"(3, 4, 0, 2, 1)",95.0,97.5,73.5,28.833333333333332,64.33333333333333,71.83333333333333,123.10794234275818
"(3, 4, 2, 0, 1)",95.0,97.5,73.5,28.833333333333332,64.33333333333333,71.83333333333333,123.10794234275818
"(4, 3, 0, 1, 2)",96.83333333333333,96.83333333333333,65.33333333333333,67.16666666666667,30.333333333333332,71.3,122.14090967178345
"(4, 3, 1, 0, 2)",96.83333333333333,96.83333333333333,65.33333333333333,67.16666666666667,30.333333333333332,71.3,122.14090967178345
"(3, 4, 0, 1, 2)",96.83333333333333,96.83333333333333,65.33333333333333,67.16666666666667,30.333333333333332,71.3,122.14090967178345
"(3, 4, 1, 0, 2)",96.83333333333333,96.83333333333333,65.33333333333333,67.16666666666667,30.333333333333332,71.3,122.14090967178345
"(0, 1, 2, 3, 4)",99.0,93.83333333333333,62.333333333333336,92.0,63.666666666666664,82.16666666666666,120.46680903434753
"(0, 1, 3, 2, 4)",99.0,93.83333333333333,62.333333333333336,92.0,63.666666666666664,82.16666666666666,120.46680903434753
"(1, 0, 2, 3, 4)",99.0,93.83333333333333,62.333333333333336,92.0,63.666666666666664,82.16666666666666,120.46680903434753
"(1, 0, 3, 2, 4)",99.0,93.83333333333333,62.333333333333336,92.0,63.666666666666664,82.16666666666666,120.46680903434753
"(2, 1, 0, 3, 4)",95.5,94.66666666666667,64.83333333333333,66.16666666666667,39.333333333333336,72.1,119.89788818359375
"(2, 1, 3, 0, 4)",95.5,94.66666666666667,64.83333333333333,66.16666666666667,39.333333333333336,72.1,119.89788818359375
"(1, 2, 0, 3, 4)",95.5,94.66666666666667,64.83333333333333,66.16666666666667,39.333333333333336,72.1,119.89788818359375
"(1, 2, 3, 0, 4)",95.5,94.66666666666667,64.83333333333333,66.16666666666667,39.333333333333336,72.1,119.89788818359375
"(0, 3, 4, 1, 2)",99.0,98.0,74.16666666666667,80.5,42.5,78.83333333333334,124.95858836174011
"(0, 3, 1, 4, 2)",99.0,98.0,74.16666666666667,80.5,42.5,78.83333333333334,124.95858836174011
"(3, 0, 4, 1, 2)",99.0,98.0,74.16666666666667,80.5,42.5,78.83333333333334,124.95858836174011
"(3, 0, 1, 4, 2)",99.0,98.0,74.16666666666667,80.5,42.5,78.83333333333334,124.95858836174011
"(4, 2, 0, 1, 3)",88.5,83.83333333333333,23.166666666666668,80.33333333333333,64.5,68.06666666666666,123.3225257396698
"(4, 2, 1, 0, 3)",88.5,83.83333333333333,23.166666666666668,80.33333333333333,64.5,68.06666666666666,123.3225257396698
"(2, 4, 0, 1, 3)",88.5,83.83333333333333,23.166666666666668,80.33333333333333,64.5,68.06666666666666,123.3225257396698
"(2, 4, 1, 0, 3)",88.5,83.83333333333333,23.166666666666668,80.33333333333333,64.5,68.06666666666666,123.3225257396698
"(3, 0, 2, 1, 4)",97.0,99.0,46.833333333333336,57.833333333333336,63.333333333333336,72.8,120.05525279045105
"(3, 0, 1, 2, 4)",97.0,99.0,46.833333333333336,57.833333333333336,63.333333333333336,72.8,120.05525279045105
"(0, 3, 2, 1, 4)",97.0,99.0,46.833333333333336,57.833333333333336,63.333333333333336,72.8,120.05525279045105
"(0, 3, 1, 2, 4)",97.0,99.0,46.833333333333336,57.833333333333336,63.333333333333336,72.8,120.05525279045105
"(3, 2, 1, 4, 0)",96.0,94.33333333333333,70.83333333333333,41.666666666666664,23.333333333333332,65.23333333333332,122.50208520889282
"(3, 2, 4, 1, 0)",96.0,94.33333333333333,70.83333333333333,41.666666666666664,23.333333333333332,65.23333333333332,122.50208520889282
"(2, 3, 1, 4, 0)",96.0,94.33333333333333,70.83333333333333,41.666666666666664,23.333333333333332,65.23333333333332,122.50208520889282
"(2, 3, 4, 1, 0)",96.0,94.33333333333333,70.83333333333333,41.666666666666664,23.333333333333332,65.23333333333332,122.50208520889282
"(0, 1, 4, 3, 2)",97.33333333333333,95.0,57.5,84.5,57.5,78.36666666666666,123.49785947799683
"(0, 1, 3, 4, 2)",97.33333333333333,95.0,57.5,84.5,57.5,78.36666666666666,123.49785947799683
"(1, 0, 4, 3, 2)",97.33333333333333,95.0,57.5,84.5,57.5,78.36666666666666,123.49785947799683
"(1, 0, 3, 4, 2)",97.33333333333333,95.0,57.5,84.5,57.5,78.36666666666666,123.49785947799683
"(2, 0, 3, 1, 4)",97.16666666666667,95.0,76.33333333333333,68.16666666666667,16.666666666666668,70.66666666666667,125.77354621887207
"(2, 0, 1, 3, 4)",97.16666666666667,95.0,76.33333333333333,68.16666666666667,16.666666666666668,70.66666666666667,125.77354621887207
"(0, 2, 3, 1, 4)",97.16666666666667,95.0,76.33333333333333,68.16666666666667,16.666666666666668,70.66666666666667,125.77354621887207
"(0, 2, 1, 3, 4)",97.16666666666667,95.0,76.33333333333333,68.16666666666667,16.666666666666668,70.66666666666667,125.77354621887207
"(3, 4, 2, 1, 0)",98.33333333333333,94.0,38.5,71.83333333333333,81.5,76.83333333333333,123.2109944820404
"(3, 4, 1, 2, 0)",98.33333333333333,94.0,38.5,71.83333333333333,81.5,76.83333333333333,123.2109944820404
"(4, 3, 2, 1, 0)",98.33333333333333,94.0,38.5,71.83333333333333,81.5,76.83333333333333,123.2109944820404
"(4, 3, 1, 2, 0)",98.33333333333333,94.0,38.5,71.83333333333333,81.5,76.83333333333333,123.2109944820404
"(1, 4, 2, 3, 0)",88.33333333333333,94.0,36.5,86.16666666666667,75.5,76.1,121.92125058174133
"(1, 4, 3, 2, 0)",88.33333333333333,94.0,36.5,86.16666666666667,75.5,76.1,121.92125058174133
"(4, 1, 2, 3, 0)",88.33333333333333,94.0,36.5,86.16666666666667,75.5,76.1,121.92125058174133
"(4, 1, 3, 2, 0)",88.33333333333333,94.0,36.5,86.16666666666667,75.5,76.1,121.92125058174133
"(4, 0, 2, 3, 1)",94.5,97.83333333333333,21.833333333333332,89.16666666666667,51.166666666666664,70.9,122.45677208900452
"(4, 0, 3, 2, 1)",94.5,97.83333333333333,21.833333333333332,89.16666666666667,51.166666666666664,70.9,122.45677208900452
"(0, 4, 2, 3, 1)",94.5,97.83333333333333,21.833333333333332,89.16666666666667,51.166666666666664,70.9,122.45677208900452
"(0, 4, 3, 2, 1)",94.5,97.83333333333333,21.833333333333332,89.16666666666667,51.166666666666664,70.9,122.45677208900452
