sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 4, 2, 1, 3)",95.5,79.83333333333333,44.0,63.833333333333336,79.33333333333333,72.49999999999999,121.90038013458252
"(0, 4, 1, 2, 3)",95.5,79.83333333333333,44.0,63.833333333333336,79.33333333333333,72.49999999999999,121.90038013458252
"(4, 0, 2, 1, 3)",95.5,79.83333333333333,44.0,63.833333333333336,79.33333333333333,72.49999999999999,121.90038013458252
"(4, 0, 1, 2, 3)",95.5,79.83333333333333,44.0,63.833333333333336,79.33333333333333,72.49999999999999,121.90038013458252
"(1, 4, 2, 0, 3)",95.16666666666667,93.5,53.5,76.0,89.66666666666667,81.56666666666668,120.12605905532837
"(1, 4, 0, 2, 3)",95.16666666666667,93.5,53.5,76.0,89.66666666666667,81.56666666666668,120.12605905532837
"(4, 1, 2, 0, 3)",95.16666666666667,93.5,53.5,76.0,89.66666666666667,81.56666666666668,120.12605905532837
"(4, 1, 0, 2, 3)",95.16666666666667,93.5,53.5,76.0,89.66666666666667,81.56666666666668,120.12605905532837
"(4, 3, 0, 2, 1)",84.0,85.0,61.166666666666664,38.5,75.66666666666667,68.86666666666666,120.83091187477112
"(4, 3, 2, 0, 1)",84.0,85.0,61.166666666666664,38.5,75.66666666666667,68.86666666666666,120.83091187477112
"(3, 4, 0, 2, 1)",84.0,85.0,61.166666666666664,38.5,75.66666666666667,68.86666666666666,120.83091187477112
"(3, 4, 2, 0, 1)",84.0,85.0,61.166666666666664,38.5,75.66666666666667,68.86666666666666,120.83091187477112
"(4, 3, 0, 1, 2)",96.5,98.33333333333333,82.66666666666667,71.33333333333333,23.333333333333332,74.43333333333332,123.80297422409058
"(4, 3, 1, 0, 2)",96.5,98.33333333333333,82.66666666666667,71.33333333333333,23.333333333333332,74.43333333333332,123.80297422409058
"(3, 4, 0, 1, 2)",96.5,98.33333333333333,82.66666666666667,71.33333333333333,23.333333333333332,74.43333333333332,123.80297422409058
"(3, 4, 1, 0, 2)",96.5,98.33333333333333,82.66666666666667,71.33333333333333,23.333333333333332,74.43333333333332,123.80297422409058
"(0, 1, 2, 3, 4)",98.5,96.83333333333333,73.5,87.33333333333333,58.666666666666664,82.96666666666667,121.00866055488586
"(0, 1, 3, 2, 4)",98.5,96.83333333333333,73.5,87.33333333333333,58.666666666666664,82.96666666666667,121.00866055488586
