sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 4, 2, 1, 3)",97.5,94.83333333333333,95.66666666666667,97.33333333333333,94.5,95.96666666666667,162.35970211029053
"(0, 4, 1, 2, 3)",97.5,94.83333333333333,95.66666666666667,97.33333333333333,94.5,95.96666666666667,162.35970211029053
"(4, 0, 2, 1, 3)",97.5,94.83333333333333,95.66666666666667,97.33333333333333,94.5,95.96666666666667,162.35970211029053
"(4, 0, 1, 2, 3)",97.5,94.83333333333333,95.66666666666667,97.33333333333333,94.5,95.96666666666667,162.35970211029053
"(1, 4, 2, 0, 3)",98.16666666666667,96.0,95.16666666666667,98.66666666666667,96.33333333333333,96.86666666666667,160.13148975372314
"(1, 4, 0, 2, 3)",98.16666666666667,96.0,95.16666666666667,98.66666666666667,96.33333333333333,96.86666666666667,160.13148975372314
"(4, 1, 2, 0, 3)",98.16666666666667,96.0,95.16666666666667,98.66666666666667,96.33333333333333,96.86666666666667,160.13148975372314
"(4, 1, 0, 2, 3)",98.16666666666667,96.0,95.16666666666667,98.66666666666667,96.33333333333333,96.86666666666667,160.13148975372314
"(4, 3, 0, 2, 1)",96.0,98.0,97.66666666666667,93.33333333333333,93.83333333333333,95.76666666666667,163.91461992263794
"(4, 3, 2, 0, 1)",96.0,98.0,97.66666666666667,93.33333333333333,93.83333333333333,95.76666666666667,163.91461992263794
"(3, 4, 0, 2, 1)",96.0,98.0,97.66666666666667,93.33333333333333,93.83333333333333,95.76666666666667,163.91461992263794
"(3, 4, 2, 0, 1)",96.0,98.0,97.66666666666667,93.33333333333333,93.83333333333333,95.76666666666667,163.91461992263794
"(4, 3, 0, 1, 2)",95.66666666666667,97.66666666666667,97.0,93.66666666666667,88.33333333333333,94.46666666666667,162.52265858650208
"(4, 3, 1, 0, 2)",95.66666666666667,97.66666666666667,97.0,93.66666666666667,88.33333333333333,94.46666666666667,162.52265858650208
"(3, 4, 0, 1, 2)",95.66666666666667,97.66666666666667,97.0,93.66666666666667,88.33333333333333,94.46666666666667,162.52265858650208
"(3, 4, 1, 0, 2)",95.66666666666667,97.66666666666667,97.0,93.66666666666667,88.33333333333333,94.46666666666667,162.52265858650208
"(0, 1, 2, 3, 4)",96.16666666666667,92.33333333333333,92.66666666666667,96.5,90.83333333333333,93.7,161.61984705924988
"(0, 1, 3, 2, 4)",96.16666666666667,92.33333333333333,92.66666666666667,96.5,90.83333333333333,93.7,161.61984705924988
"(1, 0, 2, 3, 4)",96.16666666666667,92.33333333333333,92.66666666666667,96.5,90.83333333333333,93.7,161.61984705924988
"(1, 0, 3, 2, 4)",96.16666666666667,92.33333333333333,92.66666666666667,96.5,90.83333333333333,93.7,161.61984705924988
"(2, 1, 0, 3, 4)",97.16666666666667,95.16666666666667,98.16666666666667,96.66666666666667,91.0,95.63333333333334,165.02556848526
"(2, 1, 3, 0, 4)",97.16666666666667,95.16666666666667,98.16666666666667,96.66666666666667,91.0,95.63333333333334,165.02556848526
"(1, 2, 0, 3, 4)",97.16666666666667,95.16666666666667,98.16666666666667,96.66666666666667,91.0,95.63333333333334,165.02556848526
"(1, 2, 3, 0, 4)",97.16666666666667,95.16666666666667,98.16666666666667,96.66666666666667,91.0,95.63333333333334,165.02556848526
"(0, 3, 4, 1, 2)",92.83333333333333,95.33333333333333,95.83333333333333,96.83333333333333,95.16666666666667,95.2,166.31627011299133
"(0, 3, 1, 4, 2)",92.83333333333333,95.33333333333333,95.83333333333333,96.83333333333333,95.16666666666667,95.2,166.31627011299133
"(3, 0, 4, 1, 2)",92.83333333333333,95.33333333333333,95.83333333333333,96.83333333333333,95.16666666666667,95.2,166.31627011299133
