sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 4, 2, 1, 3)",88.16666666666667,93.83333333333333,89.83333333333333,92.33333333333333,79.16666666666667,88.66666666666666,25.367591619491577
"(0, 4, 1, 2, 3)",75.66666666666667,89.0,82.33333333333333,83.33333333333333,61.0,78.26666666666667,25.188051223754883
"(4, 0, 2, 1, 3)",91.83333333333333,94.0,91.33333333333333,96.83333333333333,70.66666666666667,88.93333333333332,25.446903467178345
"(4, 0, 1, 2, 3)",53.5,79.66666666666667,84.0,82.0,59.5,71.73333333333333,25.419246912002563
"(1, 4, 2, 0, 3)",84.33333333333333,87.0,88.83333333333333,97.0,70.5,85.53333333333333,25.556829929351807
"(1, 4, 0, 2, 3)",95.16666666666667,96.66666666666667,91.66666666666667,96.83333333333333,90.0,94.06666666666666,25.419141054153442
"(4, 1, 2, 0, 3)",97.83333333333333,91.5,83.16666666666667,96.5,87.16666666666667,91.23333333333333,25.353971481323242
"(4, 1, 0, 2, 3)",90.5,92.33333333333333,85.83333333333333,95.33333333333333,83.33333333333333,89.46666666666665,25.385948657989502
"(4, 3, 0, 2, 1)",81.0,82.0,84.5,94.5,78.16666666666667,84.03333333333333,25.47660732269287
"(4, 3, 2, 0, 1)",92.83333333333333,87.16666666666667,83.0,85.5,66.66666666666667,83.03333333333333,25.425946950912476
"(3, 4, 0, 2, 1)",57.5,74.83333333333333,66.5,67.5,54.0,64.06666666666666,25.40553855895996
"(3, 4, 2, 0, 1)",73.33333333333333,98.0,83.66666666666667,94.33333333333333,90.66666666666667,88.0,25.298412322998047
"(4, 3, 0, 1, 2)",61.333333333333336,91.16666666666667,92.16666666666667,86.33333333333333,55.5,77.3,25.39572262763977
"(4, 3, 1, 0, 2)",81.5,94.5,92.16666666666667,74.83333333333333,56.5,79.9,25.45074462890625
"(3, 4, 0, 1, 2)",78.66666666666667,90.33333333333333,90.5,75.83333333333333,70.33333333333333,81.13333333333333,25.32033371925354
"(3, 4, 1, 0, 2)",85.0,92.83333333333333,90.83333333333333,75.5,67.33333333333333,82.29999999999998,25.42370843887329
"(0, 1, 2, 3, 4)",64.83333333333333,93.16666666666667,80.33333333333333,89.33333333333333,91.16666666666667,83.76666666666667,25.281374216079712
"(0, 1, 3, 2, 4)",70.5,92.5,92.16666666666667,93.5,87.66666666666667,87.26666666666668,25.6303493976593
"(1, 0, 2, 3, 4)",82.33333333333333,91.5,69.83333333333333,95.66666666666667,90.5,85.96666666666667,25.42717146873474
"(1, 0, 3, 2, 4)",79.66666666666667,89.5,85.5,89.16666666666667,87.5,86.26666666666668,25.413920164108276
"(2, 1, 0, 3, 4)",92.66666666666667,84.66666666666667,67.33333333333333,93.5,80.66666666666667,83.76666666666668,25.411487340927124
"(2, 1, 3, 0, 4)",84.16666666666667,95.0,70.33333333333333,97.83333333333333,90.5,87.56666666666666,25.396767377853394
"(1, 2, 0, 3, 4)",98.83333333333333,90.0,80.5,99.0,91.66666666666667,92.0,25.318403959274292
"(1, 2, 3, 0, 4)",58.666666666666664,90.83333333333333,78.5,85.33333333333333,87.83333333333333,80.23333333333332,25.390666246414185
"(0, 3, 4, 1, 2)",54.0,94.66666666666667,89.66666666666667,77.5,81.16666666666667,79.4,25.577553033828735
"(0, 3, 1, 4, 2)",75.16666666666667,90.0,94.83333333333333,82.16666666666667,69.5,82.33333333333334,25.321223974227905
"(3, 0, 4, 1, 2)",66.33333333333333,80.83333333333333,85.83333333333333,56.166666666666664,35.0,64.83333333333334,25.459720611572266
"(3, 0, 1, 4, 2)",65.16666666666667,86.5,90.66666666666667,70.33333333333333,65.66666666666667,75.66666666666667,25.460089206695557
"(4, 2, 0, 1, 3)",94.5,91.66666666666667,85.16666666666667,97.5,74.66666666666667,88.70000000000002,25.302825927734375
"(4, 2, 1, 0, 3)",98.16666666666667,95.0,80.16666666666667,93.33333333333333,79.0,89.13333333333334,25.36203694343567
"(2, 4, 0, 1, 3)",92.0,90.5,62.5,95.66666666666667,89.66666666666667,86.06666666666668,25.382770776748657
"(2, 4, 1, 0, 3)",96.83333333333333,91.16666666666667,85.83333333333333,90.16666666666667,79.83333333333333,88.76666666666667,25.278240203857422
"(3, 0, 2, 1, 4)",81.66666666666667,94.0,93.16666666666667,85.5,91.33333333333333,89.13333333333334,25.391725063323975
"(3, 0, 1, 2, 4)",91.16666666666667,94.5,84.33333333333333,88.33333333333333,91.5,89.96666666666667,25.375656843185425
"(0, 3, 2, 1, 4)",68.66666666666667,95.5,80.5,95.16666666666667,85.66666666666667,85.10000000000001,25.522428035736084
"(0, 3, 1, 2, 4)",64.66666666666667,95.16666666666667,90.16666666666667,89.5,83.33333333333333,84.56666666666666,25.4485445022583
"(3, 2, 1, 4, 0)",97.66666666666667,85.83333333333333,68.83333333333333,86.33333333333333,85.5,84.83333333333333,25.42419958114624
"(3, 2, 4, 1, 0)",99.0,93.5,77.0,94.33333333333333,86.66666666666667,90.1,25.34717631340027
"(2, 3, 1, 4, 0)",97.16666666666667,88.16666666666667,73.16666666666667,92.5,83.16666666666667,86.83333333333334,25.281506776809692
"(2, 3, 4, 1, 0)",98.83333333333333,96.33333333333333,75.0,96.0,88.0,90.83333333333333,25.474497318267822
"(0, 1, 4, 3, 2)",71.83333333333333,92.33333333333333,93.33333333333333,76.83333333333333,71.16666666666667,81.1,25.232948541641235
