sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 4, 2, 1, 3)",97.83333333333333,91.66666666666667,95.16666666666667,96.5,97.66666666666667,95.76666666666668,138.97539734840393
"(0, 4, 1, 2, 3)",97.83333333333333,91.66666666666667,95.16666666666667,96.5,97.66666666666667,95.76666666666668,138.97539734840393
"(4, 0, 2, 1, 3)",97.83333333333333,91.66666666666667,95.16666666666667,96.5,97.66666666666667,95.76666666666668,138.97539734840393
"(4, 0, 1, 2, 3)",97.83333333333333,91.66666666666667,95.16666666666667,96.5,97.66666666666667,95.76666666666668,138.97539734840393
"(1, 4, 2, 0, 3)",96.16666666666667,91.33333333333333,96.16666666666667,94.83333333333333,97.66666666666667,95.23333333333333,137.64058923721313
"(1, 4, 0, 2, 3)",96.16666666666667,91.33333333333333,96.16666666666667,94.83333333333333,97.66666666666667,95.23333333333333,137.64058923721313
"(4, 1, 2, 0, 3)",96.16666666666667,91.33333333333333,96.16666666666667,94.83333333333333,97.66666666666667,95.23333333333333,137.64058923721313
"(4, 1, 0, 2, 3)",96.16666666666667,91.33333333333333,96.16666666666667,94.83333333333333,97.66666666666667,95.23333333333333,137.64058923721313
"(4, 3, 0, 2, 1)",93.33333333333333,98.5,99.16666666666667,89.83333333333333,74.33333333333333,91.03333333333333,129.72646498680115
"(4, 3, 2, 0, 1)",93.33333333333333,98.5,99.16666666666667,89.83333333333333,74.33333333333333,91.03333333333333,129.72646498680115
"(3, 4, 0, 2, 1)",93.33333333333333,98.5,99.16666666666667,89.83333333333333,74.33333333333333,91.03333333333333,129.72646498680115
"(3, 4, 2, 0, 1)",93.33333333333333,98.5,99.16666666666667,89.83333333333333,74.33333333333333,91.03333333333333,129.72646498680115
"(4, 3, 0, 1, 2)",93.16666666666667,96.5,95.16666666666667,96.83333333333333,91.16666666666667,94.56666666666668,136.36528944969177
"(4, 3, 1, 0, 2)",93.16666666666667,96.5,95.16666666666667,96.83333333333333,91.16666666666667,94.56666666666668,136.36528944969177
"(3, 4, 0, 1, 2)",93.16666666666667,96.5,95.16666666666667,96.83333333333333,91.16666666666667,94.56666666666668,136.36528944969177
"(3, 4, 1, 0, 2)",93.16666666666667,96.5,95.16666666666667,96.83333333333333,91.16666666666667,94.56666666666668,136.36528944969177
"(0, 1, 2, 3, 4)",98.5,91.66666666666667,83.33333333333333,90.83333333333333,91.5,91.16666666666666,135.85153698921204
"(0, 1, 3, 2, 4)",98.5,91.66666666666667,83.33333333333333,90.83333333333333,91.5,91.16666666666666,135.85153698921204
"(1, 0, 2, 3, 4)",98.5,91.66666666666667,83.33333333333333,90.83333333333333,91.5,91.16666666666666,135.85153698921204
"(1, 0, 3, 2, 4)",98.5,91.66666666666667,83.33333333333333,90.83333333333333,91.5,91.16666666666666,135.85153698921204
"(2, 1, 0, 3, 4)",94.66666666666667,98.0,99.33333333333333,95.33333333333333,93.0,96.06666666666666,143.7618064880371
"(2, 1, 3, 0, 4)",94.66666666666667,98.0,99.33333333333333,95.33333333333333,93.0,96.06666666666666,143.7618064880371
"(1, 2, 0, 3, 4)",94.66666666666667,98.0,99.33333333333333,95.33333333333333,93.0,96.06666666666666,143.7618064880371
"(1, 2, 3, 0, 4)",94.66666666666667,98.0,99.33333333333333,95.33333333333333,93.0,96.06666666666666,143.7618064880371
"(0, 3, 4, 1, 2)",85.33333333333333,97.16666666666667,88.66666666666667,96.0,80.0,89.43333333333334,138.70765042304993
"(0, 3, 1, 4, 2)",85.33333333333333,97.16666666666667,88.66666666666667,96.0,80.0,89.43333333333334,138.70765042304993
"(3, 0, 4, 1, 2)",85.33333333333333,97.16666666666667,88.66666666666667,96.0,80.0,89.43333333333334,138.70765042304993
"(3, 0, 1, 4, 2)",85.33333333333333,97.16666666666667,88.66666666666667,96.0,80.0,89.43333333333334,138.70765042304993
"(4, 2, 0, 1, 3)",91.16666666666667,94.83333333333333,99.0,97.16666666666667,94.16666666666667,95.26666666666668,129.83945274353027
"(4, 2, 1, 0, 3)",91.16666666666667,94.83333333333333,99.0,97.16666666666667,94.16666666666667,95.26666666666668,129.83945274353027
"(2, 4, 0, 1, 3)",91.16666666666667,94.83333333333333,99.0,97.16666666666667,94.16666666666667,95.26666666666668,129.83945274353027
"(2, 4, 1, 0, 3)",91.16666666666667,94.83333333333333,99.0,97.16666666666667,94.16666666666667,95.26666666666668,129.83945274353027
"(3, 0, 2, 1, 4)",92.66666666666667,99.0,92.5,94.66666666666667,90.66666666666667,93.9,132.50941276550293
"(3, 0, 1, 2, 4)",92.66666666666667,99.0,92.5,94.66666666666667,90.66666666666667,93.9,132.50941276550293
"(0, 3, 2, 1, 4)",92.66666666666667,99.0,92.5,94.66666666666667,90.66666666666667,93.9,132.50941276550293
"(0, 3, 1, 2, 4)",92.66666666666667,99.0,92.5,94.66666666666667,90.66666666666667,93.9,132.50941276550293
"(3, 2, 1, 4, 0)",93.0,91.0,95.5,85.5,98.0,92.6,138.8377742767334
"(3, 2, 4, 1, 0)",93.0,91.0,95.5,85.5,98.0,92.6,138.8377742767334
"(2, 3, 1, 4, 0)",93.0,91.0,95.5,85.5,98.0,92.6,138.8377742767334
"(2, 3, 4, 1, 0)",93.0,91.0,95.5,85.5,98.0,92.6,138.8377742767334
