sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 4, 2, 1, 3)",73.33333333333333,89.16666666666667,82.5,93.33333333333333,77.5,83.16666666666666,7.7071497440338135
"(0, 4, 1, 2, 3)",61.666666666666664,84.16666666666667,72.5,84.16666666666667,81.66666666666667,76.83333333333334,7.490786075592041
"(4, 0, 2, 1, 3)",66.66666666666667,87.5,89.16666666666667,80.0,74.16666666666667,79.50000000000001,7.618715763092041
"(4, 0, 1, 2, 3)",82.5,79.16666666666667,69.16666666666667,90.83333333333333,71.66666666666667,78.66666666666667,7.513959646224976
"(1, 4, 2, 0, 3)",90.0,80.0,66.66666666666667,90.83333333333333,78.33333333333333,81.16666666666666,7.422765016555786
"(1, 4, 0, 2, 3)",92.5,89.16666666666667,75.83333333333333,89.16666666666667,82.5,85.83333333333334,7.486647605895996
"(4, 1, 2, 0, 3)",57.5,85.0,75.83333333333333,89.16666666666667,83.33333333333333,78.16666666666666,7.5744335651397705
"(4, 1, 0, 2, 3)",61.666666666666664,86.66666666666667,82.5,85.0,70.83333333333333,77.33333333333334,7.491947889328003
"(4, 3, 0, 2, 1)",65.0,87.5,81.66666666666667,87.5,80.0,80.33333333333334,7.560527324676514
"(4, 3, 2, 0, 1)",90.83333333333333,89.16666666666667,82.5,88.33333333333333,70.0,84.16666666666666,7.928873777389526
"(3, 4, 0, 2, 1)",85.0,92.5,77.5,94.16666666666667,78.33333333333333,85.5,7.5899622440338135
"(3, 4, 2, 0, 1)",92.5,84.16666666666667,77.5,95.83333333333333,78.33333333333333,85.66666666666666,7.755990982055664
"(4, 3, 0, 1, 2)",90.0,89.16666666666667,80.0,90.0,85.83333333333333,87.0,7.672259330749512
"(4, 3, 1, 0, 2)",87.5,75.83333333333333,57.5,90.83333333333333,62.5,74.83333333333333,7.741947650909424
"(3, 4, 0, 1, 2)",97.5,77.5,62.5,85.0,83.33333333333333,81.16666666666666,7.59044623374939
"(3, 4, 1, 0, 2)",86.66666666666667,92.5,80.83333333333333,95.0,76.66666666666667,86.33333333333334,7.708502531051636
"(0, 1, 2, 3, 4)",96.66666666666667,77.5,73.33333333333333,85.83333333333333,80.0,82.66666666666666,7.652764797210693
"(0, 1, 3, 2, 4)",70.0,82.5,75.0,90.83333333333333,84.16666666666667,80.5,8.288941860198975
"(1, 0, 2, 3, 4)",79.16666666666667,85.0,75.83333333333333,92.5,77.5,82.0,7.6735780239105225
"(1, 0, 3, 2, 4)",90.0,78.33333333333333,69.16666666666667,88.33333333333333,81.66666666666667,81.5,7.569103240966797
