sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 2, 3, 4, 1)",52.5,62.5,87.5,51.666666666666664,57.5,62.33333333333333,27.963900089263916
"(3, 2, 0, 1, 4)",81.66666666666667,25.833333333333332,86.66666666666667,69.16666666666667,79.16666666666667,68.50000000000001,28.153278589248657
"(3, 4, 2, 1, 0)",90.83333333333333,72.5,81.66666666666667,81.66666666666667,93.33333333333333,84.0,28.630282878875732
"(4, 3, 0, 1, 2)",45.833333333333336,45.0,55.833333333333336,58.333333333333336,61.666666666666664,53.333333333333336,27.54266381263733
"(1, 2, 0, 3, 4)",80.0,55.833333333333336,56.666666666666664,84.16666666666667,58.333333333333336,67.0,28.39592456817627
"(3, 2, 1, 4, 0)",85.0,53.333333333333336,60.0,81.66666666666667,95.83333333333333,75.16666666666666,28.16092085838318
"(4, 0, 1, 2, 3)",66.66666666666667,89.16666666666667,85.0,77.5,85.83333333333333,80.83333333333334,28.869170665740967
"(4, 2, 0, 3, 1)",50.833333333333336,50.833333333333336,50.833333333333336,56.666666666666664,51.666666666666664,52.166666666666664,31.321356773376465
"(1, 4, 3, 2, 0)",76.66666666666667,80.0,83.33333333333333,69.16666666666667,98.33333333333333,81.5,28.560154676437378
"(3, 1, 0, 4, 2)",92.5,80.83333333333333,78.33333333333333,76.66666666666667,74.16666666666667,80.5,30.087321281433105
"(3, 2, 4, 0, 1)",77.5,60.0,53.333333333333336,50.833333333333336,55.0,59.333333333333336,27.277032136917114
"(0, 3, 4, 1, 2)",67.5,52.5,40.0,73.33333333333333,80.83333333333333,62.83333333333333,27.870075941085815
"(4, 0, 1, 3, 2)",45.833333333333336,43.333333333333336,73.33333333333333,48.333333333333336,64.16666666666667,55.0,27.957258701324463
"(2, 4, 1, 0, 3)",80.0,60.833333333333336,69.16666666666667,78.33333333333333,81.66666666666667,74.0,28.363747358322144
"(0, 2, 3, 1, 4)",43.333333333333336,59.166666666666664,92.5,81.66666666666667,89.16666666666667,73.16666666666667,32.17545986175537
"(0, 2, 1, 4, 3)",77.5,76.66666666666667,91.66666666666667,75.0,80.83333333333333,80.33333333333334,31.350331783294678
"(0, 1, 2, 4, 3)",92.5,94.16666666666667,75.83333333333333,84.16666666666667,90.0,87.33333333333334,29.03257441520691
"(3, 1, 0, 2, 4)",84.16666666666667,74.16666666666667,48.333333333333336,60.833333333333336,77.5,69.0,30.62711000442505
"(1, 0, 3, 2, 4)",70.0,49.166666666666664,55.833333333333336,62.5,63.333333333333336,60.166666666666664,32.76320433616638
"(0, 4, 2, 3, 1)",73.33333333333333,80.0,69.16666666666667,81.66666666666667,59.166666666666664,72.66666666666667,28.76946449279785
