sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 2, 3, 4, 1)",79.16666666666667,85.0,83.33333333333333,85.83333333333333,80.83333333333333,82.83333333333333,8.698036432266235
"(3, 2, 0, 1, 4)",90.83333333333333,89.16666666666667,89.16666666666667,95.0,85.83333333333333,90.0,8.074137210845947
"(3, 4, 2, 1, 0)",92.5,80.83333333333333,60.833333333333336,96.66666666666667,73.33333333333333,80.83333333333333,8.252599239349365
"(4, 3, 0, 1, 2)",62.5,89.16666666666667,76.66666666666667,93.33333333333333,85.83333333333333,81.5,9.155013799667358
"(1, 2, 0, 3, 4)",80.0,90.83333333333333,78.33333333333333,89.16666666666667,79.16666666666667,83.5,8.866472721099854
"(3, 2, 1, 4, 0)",94.16666666666667,89.16666666666667,69.16666666666667,85.83333333333333,84.16666666666667,84.5,8.336399555206299
"(4, 0, 1, 2, 3)",79.16666666666667,92.5,87.5,82.5,78.33333333333333,84.0,8.506031274795532
"(4, 2, 0, 3, 1)",62.5,86.66666666666667,91.66666666666667,94.16666666666667,86.66666666666667,84.33333333333334,8.019115686416626
"(1, 4, 3, 2, 0)",75.0,85.0,70.0,91.66666666666667,82.5,80.83333333333334,8.36935806274414
"(3, 1, 0, 4, 2)",85.0,90.83333333333333,75.83333333333333,92.5,86.66666666666667,86.16666666666666,9.057764291763306
"(3, 2, 4, 0, 1)",64.16666666666667,84.16666666666667,76.66666666666667,93.33333333333333,65.83333333333333,76.83333333333333,8.73768138885498
"(0, 3, 4, 1, 2)",89.16666666666667,90.0,70.0,96.66666666666667,86.66666666666667,86.50000000000001,8.559276580810547
"(4, 0, 1, 3, 2)",79.16666666666667,85.83333333333333,71.66666666666667,96.66666666666667,75.83333333333333,81.83333333333334,8.45299768447876
"(2, 4, 1, 0, 3)",91.66666666666667,82.5,65.83333333333333,92.5,74.16666666666667,81.33333333333334,8.778837203979492
"(0, 2, 3, 1, 4)",71.66666666666667,90.83333333333333,75.83333333333333,93.33333333333333,84.16666666666667,83.16666666666666,8.978370189666748
"(0, 2, 1, 4, 3)",95.83333333333333,92.5,75.0,92.5,85.83333333333333,88.33333333333333,8.625104188919067
"(0, 1, 2, 4, 3)",91.66666666666667,90.83333333333333,60.0,95.0,80.0,83.5,7.978612422943115
"(3, 1, 0, 2, 4)",70.83333333333333,75.83333333333333,70.83333333333333,75.0,75.83333333333333,73.66666666666666,8.041216135025024
"(1, 0, 3, 2, 4)",85.0,79.16666666666667,68.33333333333333,89.16666666666667,77.5,79.83333333333334,8.334070444107056
"(0, 4, 2, 3, 1)",64.16666666666667,83.33333333333333,87.5,77.5,73.33333333333333,77.16666666666666,7.980578422546387
