sequence,Task1,Task2,Task3,Task4,Task5
"(0, 1, 2, 3, 4)",99.95271867612293,99.85308521057786,94.39701173959445,98.43907351460221,92.08270297528996
"(0, 1, 2, 4, 3)",99.90543735224587,99.80411361410383,95.73105656350053,97.12556732223904,95.72004028197382
"(0, 1, 3, 2, 4)",99.95271867612293,99.85308521057786,94.39701173959445,98.43907351460221,92.08270297528996
"(0, 1, 3, 4, 2)",99.95271867612293,99.70617042115573,98.23766364551864,98.08371154815936,78.06830309498399
"(0, 1, 4, 2, 3)",99.90543735224587,99.80411361410383,95.73105656350053,97.12556732223904,95.72004028197382
"(0, 1, 4, 3, 2)",99.95271867612293,99.70617042115573,98.23766364551864,98.08371154815936,78.06830309498399
"(0, 2, 1, 3, 4)",99.71631205673759,99.94663820704376,98.0411361410382,97.48237663645519,82.09783156833082
"(0, 2, 1, 4, 3)",99.71631205673759,99.94663820704376,96.81684622918708,89.15784165405951,93.40382678751259
"(0, 2, 3, 1, 4)",99.71631205673759,99.94663820704376,98.0411361410382,97.48237663645519,82.09783156833082
"(0, 2, 3, 4, 1)",99.71631205673759,99.83991462113127,94.00805639476334,90.36812909732728,89.17727717923604
"(0, 2, 4, 1, 3)",99.71631205673759,99.94663820704376,96.81684622918708,89.15784165405951,93.40382678751259
"(0, 2, 4, 3, 1)",99.71631205673759,99.83991462113127,94.00805639476334,90.36812909732728,89.17727717923604
"(0, 3, 1, 2, 4)",99.76359338061465,99.74823766364553,94.41723800195886,93.75667022411953,93.29299041855774
"(0, 3, 1, 4, 2)",99.71631205673759,99.79859013091641,93.38883447600392,97.22642460917801,74.3863393810032
"(0, 3, 2, 1, 4)",99.76359338061465,99.74823766364553,94.41723800195886,93.75667022411953,93.29299041855774
"(0, 3, 2, 4, 1)",99.62174940898345,99.79859013091641,92.26254002134472,97.88199697428139,87.02252693437806
"(0, 3, 4, 1, 2)",99.71631205673759,99.79859013091641,93.38883447600392,97.22642460917801,74.3863393810032
"(0, 3, 4, 2, 1)",99.62174940898345,99.79859013091641,92.26254002134472,97.88199697428139,87.02252693437806
"(0, 4, 1, 2, 3)",99.8581560283688,99.24357034795764,98.53085210577865,92.42262540021345,97.93554884189325
"(0, 4, 1, 3, 2)",99.95271867612293,99.64699949571356,97.94319294809011,99.29506545820745,58.80469583778015
"(0, 4, 2, 1, 3)",99.8581560283688,99.24357034795764,98.53085210577865,92.42262540021345,97.93554884189325
"(0, 4, 2, 3, 1)",99.8581560283688,99.3948562783661,91.30202774813233,98.99295065458207,95.20078354554359
"(0, 4, 3, 1, 2)",99.95271867612293,99.64699949571356,97.94319294809011,99.29506545820745,58.80469583778015
"(0, 4, 3, 2, 1)",99.8581560283688,99.3948562783661,91.30202774813233,98.99295065458207,95.20078354554359
"(1, 0, 2, 3, 4)",99.95271867612293,99.85308521057786,94.39701173959445,98.43907351460221,92.08270297528996
"(1, 0, 2, 4, 3)",99.90543735224587,99.80411361410383,95.73105656350053,97.12556732223904,95.72004028197382
"(1, 0, 3, 2, 4)",99.95271867612293,99.85308521057786,94.39701173959445,98.43907351460221,92.08270297528996
"(1, 0, 3, 4, 2)",99.95271867612293,99.70617042115573,98.23766364551864,98.08371154815936,78.06830309498399
"(1, 0, 4, 2, 3)",99.90543735224587,99.80411361410383,95.73105656350053,97.12556732223904,95.72004028197382
"(1, 0, 4, 3, 2)",99.95271867612293,99.70617042115573,98.23766364551864,98.08371154815936,78.06830309498399
"(1, 2, 0, 3, 4)",99.41234084231147,99.83991462113127,98.43971631205673,95.56898288016113,82.24911749873928
"(1, 2, 0, 4, 3)",99.55925563173359,99.51974386339381,97.96690307328605,93.24256177508825,85.80060422960725
"(1, 2, 3, 0, 4)",99.41234084231147,99.83991462113127,98.43971631205673,95.56898288016113,82.24911749873928
"(1, 2, 3, 4, 0)",99.60822722820764,99.41302027748132,92.54783484390735,94.0494200706001,95.27186761229315
