sequence,Task1,Task2,Task3,Task4,Task5
"(0, 1, 2, 3, 4)",98.33333333333333,68.33333333333333,60.0,81.66666666666667,56.666666666666664
"(0, 1, 2, 4, 3)",100.0,86.66666666666667,75.0,56.666666666666664,93.33333333333333
"(0, 1, 3, 2, 4)",98.33333333333333,63.333333333333336,90.0,60.0,55.0
"(0, 1, 3, 4, 2)",100.0,83.33333333333333,95.0,60.0,65.0
"(0, 1, 4, 2, 3)",100.0,76.66666666666667,58.333333333333336,60.0,88.33333333333333
"(0, 1, 4, 3, 2)",100.0,85.0,63.333333333333336,95.0,63.333333333333336
"(0, 2, 1, 3, 4)",90.0,56.666666666666664,61.666666666666664,81.66666666666667,53.333333333333336
"(0, 2, 1, 4, 3)",98.33333333333333,53.333333333333336,80.0,60.0,91.66666666666667
"(0, 2, 3, 1, 4)",91.66666666666667,58.333333333333336,90.0,65.0,53.333333333333336
"(0, 2, 3, 4, 1)",100.0,60.0,98.33333333333333,66.66666666666667,85.0
"(0, 2, 4, 1, 3)",98.33333333333333,53.333333333333336,63.333333333333336,81.66666666666667,93.33333333333333
"(0, 2, 4, 3, 1)",100.0,58.333333333333336,65.0,98.33333333333333,85.0
"(0, 3, 1, 2, 4)",98.33333333333333,81.66666666666667,73.33333333333333,58.333333333333336,53.333333333333336
"(0, 3, 1, 4, 2)",98.33333333333333,93.33333333333333,83.33333333333333,55.0,66.66666666666667
"(0, 3, 2, 1, 4)",91.66666666666667,83.33333333333333,60.0,70.0,53.333333333333336
"(0, 3, 2, 4, 1)",100.0,98.33333333333333,60.0,63.333333333333336,85.0
"(0, 3, 4, 1, 2)",100.0,98.33333333333333,63.333333333333336,86.66666666666667,65.0
"(0, 3, 4, 2, 1)",100.0,98.33333333333333,61.666666666666664,61.666666666666664,83.33333333333333
"(0, 4, 1, 2, 3)",100.0,58.333333333333336,81.66666666666667,63.333333333333336,98.33333333333333
"(0, 4, 1, 3, 2)",98.33333333333333,61.666666666666664,81.66666666666667,98.33333333333333,66.66666666666667
